entropy,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,contains_bug
0,13,18,1.3846,1.3846,7,36,2,13,18,TRUE
2.686628084,31,77,2.4839,2.4839,18,154,4,30,72,TRUE
3.541916263,21,34,1.619,1.619,13,68,3,22,37,TRUE
1.438706138,21,29,1.381,1.381,9,58,2,8,9,TRUE
2.97220928,15,20,1.3333,1.3333,7,40,2,14,18,TRUE
0.767940138,18,24,1.3333,1.3333,8,48,2,18,24,TRUE
2.27372625,27,48,1.7778,1.7778,13,96,3,31,56,TRUE
0,4,3,0.75,0.75,3,6,1,2,1,TRUE
3.028703261,29,54,1.8621,1.8621,13,108,3,29,52,TRUE
0.99107606,18,22,1.2222,1.2222,7,44,2,4,3,TRUE
3.893737405,5,5,1,1,3,10,2,8,8,TRUE
0.851947469,28,47,1.6786,1.6786,12,94,3,27,45,TRUE
0,27,47,1.7407,1.7407,15,94,3,25,40,TRUE
0.899743759,27,45,1.6667,1.6667,10,90,3,20,31,TRUE
0,23,35,1.5217,1.5217,9,70,3,14,19,TRUE
1.455282453,8,8,1,1,4,16,2,8,8,TRUE
1.27624134,19,27,1.4211,1.4211,11,54,2,7,10,TRUE
2.767551515,29,54,1.8621,1.8621,12,108,3,26,48,TRUE
0,15,23,1.5333,1.5333,8,46,3,15,23,TRUE
1.581030963,19,26,1.3684,1.3684,8,52,2,19,26,TRUE
3.151730514,5,5,1,1,3,10,2,5,5,TRUE
0,6,6,1,1,3,12,2,6,6,TRUE
2.040892282,25,39,1.56,1.56,9,78,3,23,35,TRUE
2.264345505,40,89,2.225,2.225,18,178,4,36,71,TRUE
2.225904757,15,20,1.3333,1.3333,7,40,2,15,20,TRUE
0.831474388,20,30,1.5,1.5,8,60,3,8,10,TRUE
1.533650914,36,72,2,2,15,144,4,28,50,TRUE
0,19,25,1.3158,1.3158,8,50,2,12,13,TRUE
0,5,5,1,1,3,10,2,5,5,TRUE
0,23,32,1.3913,1.3913,8,64,2,6,6,TRUE
3.124781605,33,68,2.0606,2.0606,14,136,4,33,68,TRUE
0,20,30,1.5,1.5,9,60,3,17,25,TRUE
0,19,29,1.5263,1.5263,8,58,3,17,25,TRUE
2.267433448,20,26,1.3,1.3,9,52,2,11,16,TRUE
0.779349837,11,16,1.4545,1.4545,10,32,2,8,9,TRUE
3.222262782,29,51,1.7586,1.7586,13,102,3,7,5,TRUE
1.215228417,29,49,1.6897,1.6897,10,98,3,30,54,TRUE
1.247629433,32,61,1.9062,1.9062,13,122,3,30,55,TRUE
0.602430802,21,36,1.7143,1.7143,10,72,3,8,8,TRUE
1.262883901,19,28,1.4737,1.4737,9,56,2,20,29,TRUE
1.499292364,21,32,1.5238,1.5238,10,64,3,18,28,TRUE
1.454640244,3,3,1,1,4,6,2,3,3,TRUE
1.569029125,27,48,1.7778,1.7778,12,96,3,27,48,TRUE
4.494598234,36,79,2.1944,2.1944,17,158,4,36,78,TRUE
2.488249551,37,77,2.0811,2.0811,20,154,4,37,77,TRUE
4.626637557,32,69,2.1562,2.1562,16,138,4,35,81,TRUE
0.660107099,25,43,1.72,1.72,11,86,3,26,44,TRUE
2.733458593,17,28,1.6471,1.6471,9,56,3,17,28,TRUE
0,23,33,1.4348,1.4348,8,66,2,17,23,TRUE
1.527125581,17,23,1.3529,1.3529,8,46,2,8,10,TRUE
4.259517675,26,49,1.8846,1.8846,14,98,3,26,48,TRUE
3.351149877,34,63,1.8529,1.8529,12,126,3,35,65,TRUE
1.15194582,32,60,1.875,1.875,11,120,3,21,34,TRUE
5.969954283,32,73,2.2812,2.2812,14,146,4,32,75,TRUE
3.179019199,21,39,1.8571,1.8571,16,78,3,22,40,TRUE
7.469250601,35,82,2.3429,2.3429,20,164,4,35,81,TRUE
4.827610052,41,97,2.3659,2.3659,21,194,4,40,92,TRUE
2.632691086,27,43,1.5926,1.5926,11,86,3,20,34,TRUE
0,17,24,1.4118,1.4118,8,48,2,2,1,TRUE
1.986412059,12,20,1.6667,1.6667,8,40,3,8,12,TRUE
1.842949293,23,42,1.8261,1.8261,11,84,3,18,30,TRUE
3.001425987,20,26,1.3,1.3,9,52,2,13,17,TRUE
1.445053103,31,53,1.7097,1.7097,11,106,3,16,22,TRUE
0,18,27,1.5,1.5,10,54,3,11,13,TRUE
1.753792539,25,40,1.6,1.6,10,80,3,30,54,TRUE
3.068756279,21,34,1.619,1.619,9,68,3,21,35,TRUE
1.968672331,29,51,1.7586,1.7586,14,102,3,22,38,TRUE
1.947730922,21,28,1.3333,1.3333,9,56,2,9,12,TRUE
2.432858504,24,35,1.4583,1.4583,9,70,3,14,18,TRUE
2.477217001,6,5,0.8333,0.8333,2,10,2,6,5,TRUE
2.997392529,3,2,0.6667,0.6667,2,4,1,3,2,TRUE
0,18,25,1.3889,1.3889,7,50,2,12,17,TRUE
2.018880865,27,48,1.7778,1.7778,10,96,3,21,35,TRUE
2.665232867,31,55,1.7742,1.7742,12,110,3,24,40,TRUE
3.077245969,29,52,1.7931,1.7931,10,104,3,26,45,TRUE
1.891528335,17,26,1.5294,1.5294,9,52,3,13,15,TRUE
0.999743186,28,46,1.6429,1.6429,10,92,3,20,30,TRUE
1.545805056,26,41,1.5769,1.5769,10,82,3,3,3,TRUE
3.185622483,10,11,1.1,1.1,5,22,2,10,11,TRUE
1.879964949,13,24,1.8462,1.8462,10,48,3,15,24,TRUE
1.224381458,22,35,1.5909,1.5909,9,70,3,23,36,TRUE
1.634523931,26,49,1.8846,1.8846,14,98,3,16,24,TRUE
0,8,8,1,1,4,16,2,8,8,TRUE
0,18,24,1.3333,1.3333,6,48,2,7,8,TRUE
0.964547659,28,50,1.7857,1.7857,14,100,3,16,24,TRUE
1.570412502,28,50,1.7857,1.7857,12,100,3,27,48,TRUE
2.347038965,32,60,1.875,1.875,15,120,3,31,60,TRUE
3.36011769,29,53,1.8276,1.8276,13,106,3,24,38,TRUE
1.483355755,23,34,1.4783,1.4783,9,68,2,12,17,TRUE
2.210647873,9,12,1.3333,1.3333,6,24,2,9,12,TRUE
1.548123002,21,33,1.5714,1.5714,9,66,3,19,28,TRUE
1.014866774,23,36,1.5652,1.5652,11,72,3,11,14,TRUE
1.426189492,24,40,1.6667,1.6667,11,80,3,23,39,TRUE
0.999871757,21,34,1.619,1.619,10,68,3,8,10,TRUE
1.090960456,18,30,1.6667,1.6667,11,60,3,9,15,TRUE
1.103115209,27,43,1.5926,1.5926,11,86,3,8,10,TRUE
1.20600269,9,8,0.8889,0.8889,4,16,1,9,8,TRUE
0,26,40,1.5385,1.5385,9,80,3,18,27,TRUE
8.716359852,3,2,0.6667,0.6667,2,4,1,4,3,TRUE
7.21916852,3,2,0.6667,0.6667,2,4,1,4,3,TRUE
2.244390187,23,33,1.4348,1.4348,9,66,2,22,35,TRUE
3.68663201,8,11,1.375,1.375,6,22,2,44,97,TRUE
1.580103565,25,46,1.84,1.84,12,92,3,29,55,TRUE
4.018917886,29,53,1.8276,1.8276,15,106,3,39,73,TRUE
3.946485257,16,26,1.625,1.625,11,52,3,16,26,TRUE
4.00602764,32,60,1.875,1.875,15,120,3,32,68,TRUE
0,8,8,1,1,5,16,2,4,3,TRUE
2.868450676,10,11,1.1,1.1,5,22,2,10,11,TRUE
3.414399908,22,36,1.6364,1.6364,10,72,3,19,29,TRUE
1.790816699,23,39,1.6957,1.6957,11,78,3,18,24,TRUE
0,13,15,1.1538,1.1538,4,30,2,3,3,TRUE
3.269071293,31,59,1.9032,1.9032,12,118,3,30,50,TRUE
0,16,22,1.375,1.375,8,44,2,10,14,TRUE
0.918295834,19,33,1.7368,1.7368,11,66,3,12,17,TRUE
1.712890417,26,52,2,2,13,104,4,20,35,TRUE
0,0,0,0,0,0,0,0,10,11,TRUE
1.026583659,7,8,1.1429,1.1429,5,16,2,26,44,TRUE
0,12,17,1.4167,1.4167,8,34,2,11,16,TRUE
0.945660305,15,21,1.4,1.4,7,42,2,19,28,TRUE
1.489135332,24,44,1.8333,1.8333,13,88,3,19,33,TRUE
0.74248757,8,10,1.25,1.25,5,20,2,8,10,TRUE
0.721928095,13,18,1.3846,1.3846,7,36,2,12,15,TRUE
3.223771927,33,56,1.697,1.697,15,112,3,30,55,TRUE
1.796143624,26,45,1.7308,1.7308,13,90,3,24,39,TRUE
2.130255911,39,95,2.4359,2.4359,18,190,4,39,95,TRUE
0.380946586,13,18,1.3846,1.3846,8,36,2,8,9,TRUE
0,23,33,1.4348,1.4348,11,66,3,10,13,TRUE
0.959356208,22,36,1.6364,1.6364,10,72,3,19,27,TRUE
0.823811633,19,30,1.5789,1.5789,11,60,3,13,18,TRUE
0,23,39,1.6957,1.6957,11,78,3,14,19,TRUE
0.992774454,26,43,1.6538,1.6538,11,86,3,8,10,TRUE
1.634342748,26,42,1.6154,1.6154,11,84,3,10,14,TRUE
1.700331947,13,16,1.2308,1.2308,7,32,2,11,14,TRUE
2.410426363,30,62,2.0667,2.0667,14,124,4,20,34,TRUE
1.661592163,22,37,1.6818,1.6818,12,74,3,15,24,TRUE
1.699538604,29,49,1.6897,1.6897,12,98,3,27,45,TRUE
1.707701925,28,47,1.6786,1.6786,12,94,3,8,10,TRUE
0,10,12,1.2,1.2,5,24,2,10,12,TRUE
0,16,22,1.375,1.375,8,44,2,7,10,TRUE
0,10,15,1.5,1.5,7,30,3,11,16,TRUE
2.62396853,20,32,1.6,1.6,11,64,3,28,47,TRUE
1.97572726,32,58,1.8125,1.8125,12,116,3,19,29,TRUE
2.536770759,28,47,1.6786,1.6786,11,94,3,25,41,TRUE
2.697388491,37,75,2.027,2.027,14,150,4,37,71,TRUE
0.845350937,18,26,1.4444,1.4444,11,52,2,10,13,TRUE
1.386380199,32,58,1.8125,1.8125,13,116,3,24,39,TRUE
3.196041648,32,73,2.2812,2.2812,19,146,4,38,98,TRUE
1,19,31,1.6316,1.6316,10,62,3,15,23,TRUE
0,25,45,1.8,1.8,12,90,3,10,11,TRUE
0.558629373,23,41,1.7826,1.7826,12,82,3,18,29,TRUE
2.762085933,26,40,1.5385,1.5385,11,80,3,20,27,TRUE
3.051154375,36,75,2.0833,2.0833,14,150,4,41,89,TRUE
2.137631812,25,41,1.64,1.64,13,82,3,13,19,TRUE
0.405977038,21,30,1.4286,1.4286,8,60,3,10,13,TRUE
0.378958788,27,47,1.7407,1.7407,10,94,3,26,43,TRUE
3.356053478,22,45,2.0455,2.0455,17,90,4,19,39,TRUE
0.566509507,5,4,0.8,0.8,4,8,1,5,4,TRUE
0,8,10,1.25,1.25,5,20,2,8,11,TRUE
2.410221769,35,71,2.0286,2.0286,16,142,4,20,39,TRUE
0.149811367,8,9,1.125,1.125,6,18,2,8,9,TRUE
3.272956536,33,65,1.9697,1.9697,14,130,3,31,60,TRUE
3.339227633,36,86,2.3889,2.3889,17,172,4,29,70,TRUE
0,17,24,1.4118,1.4118,8,48,2,7,10,TRUE
1.520366167,31,57,1.8387,1.8387,15,114,3,25,47,TRUE
3.573508512,27,51,1.8889,1.8889,13,102,3,16,23,TRUE
0,7,9,1.2857,1.2857,5,18,2,7,9,TRUE
0.99107606,23,34,1.4783,1.4783,10,68,3,8,11,TRUE
1.420341434,24,43,1.7917,1.7917,12,86,3,24,43,TRUE
3.571036218,25,36,1.44,1.44,9,72,3,26,43,TRUE
1.168259674,19,29,1.5263,1.5263,12,58,3,36,68,TRUE
2.47623512,30,57,1.9,1.9,14,114,3,25,46,TRUE
0.996415648,30,55,1.8333,1.8333,11,110,3,18,28,TRUE
2.600408125,33,70,2.1212,2.1212,15,140,4,32,65,TRUE
1.34757583,24,36,1.5,1.5,10,72,3,6,5,TRUE
0.301378644,12,16,1.3333,1.3333,7,32,2,8,10,TRUE
2.493671614,4,4,1,1,5,8,2,4,4,TRUE
1.370182123,8,10,1.25,1.25,6,20,2,3,3,TRUE
0,11,14,1.2727,1.2727,5,28,2,11,12,TRUE
1.226035725,27,50,1.8519,1.8519,12,100,3,27,46,TRUE
1.444409244,24,39,1.625,1.625,11,78,3,7,7,TRUE
0.998635964,26,41,1.5769,1.5769,9,82,3,9,12,TRUE
0.803415848,23,34,1.4783,1.4783,11,68,3,5,4,TRUE
1.180890283,5,4,0.8,0.8,4,8,1,19,31,TRUE
1.021910324,33,65,1.9697,1.9697,15,130,3,23,42,TRUE
0,25,39,1.56,1.56,11,78,3,0,0,TRUE
2.263224746,31,55,1.7742,1.7742,11,110,3,18,24,TRUE
0.155103272,9,11,1.2222,1.2222,6,22,2,9,11,TRUE
2.701734413,25,39,1.56,1.56,10,78,3,24,37,TRUE
3.467762272,37,85,2.2973,2.2973,18,170,4,27,60,TRUE
0.666578358,18,26,1.4444,1.4444,8,52,2,18,27,TRUE
2.738686633,26,47,1.8077,1.8077,14,94,3,21,40,TRUE
1.942174562,27,43,1.5926,1.5926,10,86,3,27,43,TRUE
2.970767619,19,25,1.3158,1.3158,8,50,2,8,11,TRUE
2.874609205,37,72,1.9459,1.9459,16,144,3,30,58,TRUE
0.833764907,13,18,1.3846,1.3846,7,36,2,12,16,TRUE
3.965732519,33,67,2.0303,2.0303,13,134,4,31,57,TRUE
4.302432955,43,94,2.186,2.186,20,188,4,38,81,TRUE
0.970950594,16,22,1.375,1.375,8,44,2,8,11,TRUE
0,11,10,0.9091,0.9091,4,20,1,11,10,TRUE
2.023938753,26,42,1.6154,1.6154,12,84,3,19,28,TRUE
0,22,38,1.7273,1.7273,11,76,3,15,23,TRUE
2.236755751,27,47,1.7407,1.7407,11,94,3,31,59,TRUE
1.962240989,24,36,1.5,1.5,9,72,3,19,28,TRUE
1,13,18,1.3846,1.3846,8,36,2,12,17,TRUE
1.82145172,27,40,1.4815,1.4815,12,80,3,14,18,TRUE
1.981723947,28,59,2.1071,2.1071,16,118,4,32,72,TRUE
1.858015819,35,81,2.3143,2.3143,16,162,4,29,69,TRUE
2.783601488,22,31,1.4091,1.4091,10,62,2,19,26,TRUE
2.308668243,33,80,2.4242,2.4242,21,160,5,29,63,TRUE
2.730085539,30,58,1.9333,1.9333,13,116,3,28,50,TRUE
2.952694885,37,91,2.4595,2.4595,19,182,4,33,78,TRUE
1.728142713,34,66,1.9412,1.9412,15,132,4,23,42,TRUE
2.119797061,31,54,1.7419,1.7419,12,108,3,26,38,TRUE
2.741538759,30,62,2.0667,2.0667,17,124,4,33,67,TRUE
1.686051162,29,54,1.8621,1.8621,12,108,3,18,27,TRUE
2.693555157,28,56,2,2,14,112,4,21,36,TRUE
3.455122486,23,38,1.6522,1.6522,11,76,3,23,36,TRUE
0.849092166,27,46,1.7037,1.7037,12,92,3,26,45,TRUE
0.609840305,18,25,1.3889,1.3889,8,50,2,3,3,TRUE
0.597597776,29,49,1.6897,1.6897,13,98,3,27,44,TRUE
2.516181236,30,60,2,2,15,120,4,25,41,TRUE
2.388723566,23,40,1.7391,1.7391,13,80,3,15,24,TRUE
3.521828385,28,62,2.2143,2.2143,15,124,4,12,17,TRUE
3.25215443,13,18,1.3846,1.3846,7,36,2,13,18,TRUE
3.406511354,26,47,1.8077,1.8077,12,94,3,40,85,TRUE
1.381914031,30,54,1.8,1.8,14,108,3,15,20,TRUE
0.980597441,26,39,1.5,1.5,10,78,3,8,11,TRUE
4.162722824,30,54,1.8,1.8,11,108,3,28,50,TRUE
2.580044513,22,35,1.5909,1.5909,7,70,3,9,12,TRUE
2.222191576,18,27,1.5,1.5,7,54,3,12,15,TRUE
0.40217919,28,48,1.7143,1.7143,10,96,3,9,8,TRUE
3.012943268,36,72,2,2,13,144,4,31,58,TRUE
0.909736123,29,52,1.7931,1.7931,11,104,3,29,51,TRUE
0.716962252,22,36,1.6364,1.6364,10,72,3,3,3,TRUE
1.517864253,23,37,1.6087,1.6087,8,74,3,17,24,TRUE
3.363600282,30,53,1.7667,1.7667,11,106,3,22,34,TRUE
0.619382195,14,18,1.2857,1.2857,8,36,2,13,17,TRUE
0.976020648,20,34,1.7,1.7,12,68,3,16,23,TRUE
1.428040724,30,57,1.9,1.9,14,114,3,10,14,TRUE
0.934068055,18,24,1.3333,1.3333,8,48,2,13,18,TRUE
1.294820355,19,25,1.3158,1.3158,9,50,2,9,10,TRUE
0,6,7,1.1667,1.1667,4,14,2,7,8,TRUE
2.373982283,26,43,1.6538,1.6538,12,86,3,25,37,TRUE
1.797496821,25,50,2,2,12,100,4,27,59,TRUE
2.587343825,4,6,1.5,1.5,4,12,3,4,4,TRUE
0.235193382,32,59,1.8438,1.8438,12,118,3,27,48,TRUE
2.490838424,33,62,1.8788,1.8788,13,124,3,24,40,TRUE
2.485644093,32,58,1.8125,1.8125,13,116,3,23,40,TRUE
2.295159285,30,59,1.9667,1.9667,13,118,3,36,77,TRUE
2.683394584,40,82,2.05,2.05,15,164,4,33,64,TRUE
0,8,9,1.125,1.125,6,18,2,8,9,TRUE
5.302798479,40,90,2.25,2.25,17,180,4,34,76,TRUE
0,3,3,1,1,4,6,2,3,3,TRUE
1.247326525,24,38,1.5833,1.5833,10,76,3,29,46,TRUE
2.482308327,36,67,1.8611,1.8611,15,134,3,35,66,TRUE
2.716048521,32,67,2.0938,2.0938,17,134,4,28,58,TRUE
1.96316897,27,44,1.6296,1.6296,11,88,3,20,30,TRUE
1.695141631,40,82,2.05,2.05,15,164,4,36,70,TRUE
1.500441326,25,43,1.72,1.72,13,86,3,25,40,TRUE
1.485475297,7,7,1,1,4,14,2,7,7,TRUE
0,4,4,1,1,4,8,2,4,4,TRUE
3.648352309,34,72,2.1176,2.1176,19,144,4,27,55,TRUE
2.46781655,8,9,1.125,1.125,4,18,2,8,9,TRUE
3.083416022,23,35,1.5217,1.5217,10,70,3,26,43,TRUE
3.422389687,25,45,1.8,1.8,12,90,3,18,27,TRUE
2.838976135,26,51,1.9615,1.9615,13,102,3,27,52,TRUE
2.184510718,39,83,2.1282,2.1282,16,166,4,20,32,TRUE
1.532928552,22,31,1.4091,1.4091,10,62,2,19,27,TRUE
2.581151027,10,13,1.3,1.3,7,26,2,6,8,TRUE
4.239341634,13,18,1.3846,1.3846,8,36,2,43,92,TRUE
3.583774945,39,82,2.1026,2.1026,17,164,4,30,59,TRUE
2.670731449,31,55,1.7742,1.7742,12,110,3,33,68,TRUE
4.081004637,29,47,1.6207,1.6207,12,94,3,16,20,TRUE
1.278626994,33,63,1.9091,1.9091,14,126,3,29,51,TRUE
4.667209789,40,96,2.4,2.4,19,192,4,36,78,TRUE
0.952743171,29,53,1.8276,1.8276,12,106,3,22,36,TRUE
2.69483719,25,37,1.48,1.48,10,74,3,13,18,TRUE
2.221712693,28,52,1.8571,1.8571,13,104,3,24,42,TRUE
5.185271151,24,51,2.125,2.125,13,102,4,21,47,TRUE
3.338601105,29,60,2.069,2.069,15,120,4,16,22,TRUE
0.928814273,31,55,1.7742,1.7742,15,110,3,30,52,TRUE
1.54129853,8,11,1.375,1.375,6,22,2,8,11,TRUE
2.376217541,25,51,2.04,2.04,14,102,4,17,34,TRUE
2.825984915,26,52,2,2,14,104,4,16,25,TRUE
0.745899097,9,12,1.3333,1.3333,7,24,2,20,31,TRUE
3.229535792,36,77,2.1389,2.1389,16,154,4,22,35,TRUE
1.578537922,13,22,1.6923,1.6923,11,44,3,23,43,TRUE
1.852789959,32,59,1.8438,1.8438,15,118,3,20,33,TRUE
0.845350937,8,9,1.125,1.125,4,18,2,8,9,TRUE
1.685151876,31,54,1.7419,1.7419,13,108,3,15,23,TRUE
1.876774708,17,24,1.4118,1.4118,10,48,2,4,3,TRUE
0,3,2,0.6667,0.6667,2,4,1,3,2,TRUE
0,8,11,1.375,1.375,6,22,2,8,11,TRUE
2.54291453,30,57,1.9,1.9,15,114,3,25,47,TRUE
3.540824922,35,72,2.0571,2.0571,15,144,4,44,100,TRUE
3.532737115,38,90,2.3684,2.3684,19,180,4,32,67,TRUE
1.631380739,30,63,2.1,2.1,15,126,4,33,66,TRUE
1.467876874,34,71,2.0882,2.0882,16,142,4,30,60,TRUE
4.072063839,29,52,1.7931,1.7931,13,104,3,21,35,TRUE
1.274771983,26,38,1.4615,1.4615,10,76,2,36,64,TRUE
0.650022422,3,3,1,1,4,6,2,3,3,TRUE
0,22,34,1.5455,1.5455,8,68,3,22,34,TRUE
0.629249224,23,39,1.6957,1.6957,11,78,3,17,24,TRUE
0.51594693,17,27,1.5882,1.5882,10,54,3,9,12,TRUE
0.134029796,29,52,1.7931,1.7931,12,104,3,26,44,TRUE
1.708160913,31,55,1.7742,1.7742,12,110,3,4,4,TRUE
0,7,10,1.4286,1.4286,5,20,2,7,10,TRUE
3.442381917,26,44,1.6923,1.6923,12,88,3,3,3,TRUE
3.147089796,29,47,1.6207,1.6207,12,94,3,8,11,TRUE
3.694530765,26,47,1.8077,1.8077,12,94,3,29,58,TRUE
2.793459114,35,73,2.0857,2.0857,17,146,4,23,37,TRUE
3.546530411,13,21,1.6154,1.6154,9,42,3,10,15,TRUE
2.127287925,28,49,1.75,1.75,14,98,3,29,52,TRUE
0,12,17,1.4167,1.4167,7,34,2,12,17,TRUE
3.199636858,24,40,1.6667,1.6667,11,80,3,18,26,TRUE
0,5,4,0.8,0.8,4,8,1,3,2,TRUE
1.677421284,23,33,1.4348,1.4348,9,66,2,17,22,TRUE
2.835159862,24,39,1.625,1.625,9,78,3,24,38,TRUE
1.999047209,22,34,1.5455,1.5455,10,68,3,18,28,TRUE
0.825626526,24,36,1.5,1.5,10,72,3,14,19,TRUE
1.304095709,28,50,1.7857,1.7857,10,100,3,22,33,TRUE
1.195118458,30,52,1.7333,1.7333,10,104,3,17,24,TRUE
3.315967446,30,54,1.8,1.8,12,108,3,26,46,TRUE
0.558629373,31,51,1.6452,1.6452,13,102,3,22,33,TRUE
1.702534411,32,57,1.7812,1.7812,14,114,3,41,83,TRUE
1.992004763,20,32,1.6,1.6,8,64,3,19,30,TRUE
1.045520441,31,50,1.6129,1.6129,11,100,3,18,24,TRUE
0,27,42,1.5556,1.5556,9,84,3,18,26,TRUE
1.390167189,27,44,1.6296,1.6296,12,88,3,24,41,TRUE
0,19,28,1.4737,1.4737,8,56,2,16,22,TRUE
1.395438406,33,59,1.7879,1.7879,12,118,3,24,42,TRUE
0,4,3,0.75,0.75,3,6,1,4,3,TRUE
0.400526354,4,3,0.75,0.75,3,6,1,4,3,TRUE
0,14,13,0.9286,0.9286,4,26,2,9,8,TRUE
2.818030336,4,4,1,1,5,8,2,4,4,TRUE
1.981278786,31,63,2.0323,2.0323,15,126,4,28,49,TRUE
0,20,30,1.5,1.5,11,60,3,20,28,TRUE
1.268666373,26,44,1.6923,1.6923,11,88,3,25,37,TRUE
2.53956357,34,66,1.9412,1.9412,13,132,3,29,50,TRUE
0.985228136,23,33,1.4348,1.4348,9,66,2,17,24,TRUE
0,25,44,1.76,1.76,12,88,3,17,24,TRUE
0,9,10,1.1111,1.1111,4,20,2,9,10,TRUE
1.614884276,23,41,1.7826,1.7826,11,82,3,13,22,TRUE
3.625689483,26,38,1.4615,1.4615,11,76,3,13,17,TRUE
0.99107606,19,30,1.5789,1.5789,8,60,3,18,27,TRUE
0,5,4,0.8,0.8,4,8,1,5,4,TRUE
2.625455187,26,41,1.5769,1.5769,10,82,3,20,32,TRUE
2.218767977,31,57,1.8387,1.8387,13,114,3,30,55,TRUE
1.846935923,22,35,1.5909,1.5909,11,70,3,18,26,TRUE
1.848496328,24,35,1.4583,1.4583,9,70,2,14,17,TRUE
2.930968117,25,48,1.92,1.92,13,96,3,35,70,TRUE
3.4668747,36,76,2.1111,2.1111,20,152,4,29,60,TRUE
0,8,8,1,1,5,16,2,8,8,TRUE
0.866725613,26,39,1.5,1.5,10,78,3,14,19,TRUE
2.957138478,32,68,2.125,2.125,17,136,4,24,53,TRUE
4.342128949,33,84,2.5455,2.5455,18,168,5,30,68,TRUE
2.072042092,19,28,1.4737,1.4737,11,56,3,25,42,TRUE
0,11,15,1.3636,1.3636,9,30,2,5,7,TRUE
0.117594666,18,30,1.6667,1.6667,13,60,3,3,3,TRUE
0.932111568,26,45,1.7308,1.7308,11,90,3,17,24,TRUE
1.453345323,22,34,1.5455,1.5455,10,68,3,21,30,TRUE
1.224394445,20,29,1.45,1.45,10,58,2,8,8,TRUE
