add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_num_nodes,del_max_degree,contains_bug
27,43,1.5926,1.5926,11,86,3,2,18,8,TRUE
14,18,1.2857,1.2857,8,36,2,2,0,0,TRUE
25,38,1.52,1.52,12,76,3,2,9,4,TRUE
20,31,1.55,1.55,9,62,3,3,8,6,TRUE
8,9,1.125,1.125,4,18,2,2,6,4,TRUE
17,23,1.3529,1.3529,9,46,2,2,36,17,TRUE
20,28,1.4,1.4,9,56,2,2,21,10,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
7,7,1,1,4,14,2,2,0,0,TRUE
22,32,1.4545,1.4545,9,64,2,2,18,7,TRUE
31,65,2.0968,2.0968,15,130,4,3,26,15,TRUE
24,39,1.625,1.625,12,78,3,2,13,10,TRUE
25,50,2,2,13,100,4,3,25,13,TRUE
20,32,1.6,1.6,9,64,3,3,19,10,TRUE
28,51,1.8214,1.8214,14,102,3,3,17,11,TRUE
18,26,1.4444,1.4444,8,52,2,2,18,8,TRUE
33,66,2,2,15,132,4,2,32,13,TRUE
21,31,1.4762,1.4762,9,62,2,2,15,8,TRUE
38,90,2.3684,2.3684,22,180,4,3,37,23,TRUE
16,22,1.375,1.375,7,44,2,2,13,8,TRUE
13,18,1.3846,1.3846,7,36,2,2,13,7,TRUE
31,64,2.0645,2.0645,13,128,4,3,35,16,TRUE
26,57,2.1923,2.1923,14,114,4,3,34,16,TRUE
36,85,2.3611,2.3611,20,170,4,3,36,20,TRUE
34,68,2,2,14,136,4,3,34,14,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
25,38,1.52,1.52,9,76,3,2,13,7,TRUE
23,36,1.5652,1.5652,9,72,3,2,23,9,TRUE
29,47,1.6207,1.6207,11,94,3,2,14,7,TRUE
13,19,1.4615,1.4615,9,38,3,2,8,4,TRUE
27,46,1.7037,1.7037,15,92,3,2,22,14,TRUE
20,27,1.35,1.35,10,54,2,2,20,10,TRUE
19,24,1.2632,1.2632,8,48,2,2,40,14,TRUE
20,26,1.3,1.3,7,52,2,2,11,5,TRUE
33,67,2.0303,2.0303,15,134,4,3,35,14,TRUE
30,51,1.7,1.7,12,102,3,2,30,11,TRUE
17,26,1.5294,1.5294,9,52,3,2,18,9,TRUE
26,46,1.7692,1.7692,11,92,3,3,26,11,TRUE
12,17,1.4167,1.4167,7,34,2,2,10,7,TRUE
20,36,1.8,1.8,12,72,3,3,15,9,TRUE
5,4,0.8,0.8,4,8,1,1,9,7,TRUE
20,32,1.6,1.6,11,64,3,2,21,13,TRUE
29,52,1.7931,1.7931,12,104,3,3,24,10,TRUE
22,32,1.4545,1.4545,10,64,3,2,20,9,TRUE
20,31,1.55,1.55,9,62,3,3,28,14,TRUE
17,24,1.4118,1.4118,8,48,2,2,18,8,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
27,46,1.7037,1.7037,12,92,3,2,21,9,TRUE
5,6,1.2,1.2,5,12,2,2,27,17,TRUE
21,37,1.7619,1.7619,11,74,3,3,20,10,TRUE
10,14,1.4,1.4,9,28,2,2,10,9,TRUE
15,21,1.4,1.4,7,42,2,2,9,4,TRUE
19,28,1.4737,1.4737,7,56,2,2,12,5,TRUE
24,41,1.7083,1.7083,10,82,3,2,26,12,TRUE
33,63,1.9091,1.9091,16,126,3,3,27,16,TRUE
30,62,2.0667,2.0667,14,124,4,3,28,11,TRUE
28,54,1.9286,1.9286,14,108,4,3,28,14,TRUE
26,45,1.7308,1.7308,11,90,3,2,18,7,TRUE
32,53,1.6562,1.6562,12,106,3,2,32,12,TRUE
12,15,1.25,1.25,4,30,2,2,12,4,TRUE
29,53,1.8276,1.8276,14,106,3,3,0,0,TRUE
4,5,1.25,1.25,4,10,2,2,26,14,TRUE
28,54,1.9286,1.9286,13,108,3,3,29,16,TRUE
32,58,1.8125,1.8125,13,116,3,2,34,14,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
29,60,2.069,2.069,14,120,4,3,27,14,TRUE
18,27,1.5,1.5,9,54,3,2,13,7,TRUE
3,2,0.6667,0.6667,2,4,1,1,9,6,TRUE
24,40,1.6667,1.6667,14,80,3,2,32,13,TRUE
8,8,1,1,4,16,2,2,11,6,TRUE
26,55,2.1154,2.1154,16,110,4,3,25,15,TRUE
24,40,1.6667,1.6667,11,80,3,2,14,8,TRUE
25,41,1.64,1.64,12,82,3,3,25,12,TRUE
13,15,1.1538,1.1538,7,30,2,2,0,0,TRUE
5,4,0.8,0.8,4,8,1,1,0,0,TRUE
17,25,1.4706,1.4706,8,50,2,2,12,6,TRUE
29,58,2,2,13,116,4,3,28,12,TRUE
22,39,1.7727,1.7727,10,78,3,2,19,9,TRUE
26,43,1.6538,1.6538,10,86,3,2,24,13,TRUE
25,39,1.56,1.56,9,78,3,2,17,8,TRUE
18,23,1.2778,1.2778,8,46,2,2,10,7,TRUE
11,12,1.0909,1.0909,4,24,2,2,11,4,TRUE
7,7,1,1,4,14,2,2,7,4,TRUE
24,40,1.6667,1.6667,11,80,3,2,22,11,TRUE
14,18,1.2857,1.2857,8,36,2,2,0,0,TRUE
32,55,1.7188,1.7188,15,110,3,2,24,13,TRUE
20,35,1.75,1.75,9,70,3,3,18,9,TRUE
34,60,1.7647,1.7647,14,120,3,3,16,8,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
19,26,1.3684,1.3684,9,52,2,2,19,9,TRUE
14,19,1.3571,1.3571,7,38,2,2,13,6,TRUE
26,45,1.7308,1.7308,11,90,3,3,21,11,TRUE
10,12,1.2,1.2,4,24,2,2,0,0,TRUE
7,7,1,1,4,14,2,2,7,4,TRUE
27,50,1.8519,1.8519,17,100,3,2,16,11,TRUE
7,9,1.2857,1.2857,4,18,2,3,0,0,TRUE
26,42,1.6154,1.6154,10,84,3,2,26,9,TRUE
10,10,1,1,5,20,2,2,5,4,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
10,10,1,1,5,20,2,2,5,4,TRUE
14,15,1.0714,1.0714,6,30,2,2,9,4,TRUE
21,31,1.4762,1.4762,11,62,2,2,21,11,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
17,25,1.4706,1.4706,8,50,2,2,8,5,TRUE
16,23,1.4375,1.4375,10,46,3,2,15,8,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
31,60,1.9355,1.9355,14,120,3,3,22,13,TRUE
8,8,1,1,5,16,2,2,7,5,TRUE
17,30,1.7647,1.7647,11,60,3,2,40,19,TRUE
41,89,2.1707,2.1707,19,178,4,3,11,9,TRUE
14,14,1,1,4,28,2,2,7,4,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
23,35,1.5217,1.5217,9,70,3,2,10,7,TRUE
23,33,1.4348,1.4348,8,66,2,2,22,8,TRUE
31,51,1.6452,1.6452,12,102,3,2,28,11,TRUE
24,38,1.5833,1.5833,14,76,3,2,24,14,TRUE
3,3,1,1,4,6,2,1,10,8,TRUE
6,5,0.8333,0.8333,5,10,1,1,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
27,48,1.7778,1.7778,17,96,3,3,27,14,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
21,33,1.5714,1.5714,8,66,3,2,21,8,TRUE
36,73,2.0278,2.0278,16,146,4,3,28,11,TRUE
17,25,1.4706,1.4706,8,50,2,2,17,8,TRUE
13,16,1.2308,1.2308,6,32,2,2,8,4,TRUE
8,8,1,1,4,16,2,2,7,4,TRUE
12,17,1.4167,1.4167,7,34,2,2,18,8,TRUE
25,43,1.72,1.72,12,86,3,3,32,13,TRUE
27,48,1.7778,1.7778,11,96,3,3,36,14,TRUE
36,72,2,2,17,144,4,3,39,18,TRUE
33,76,2.303,2.303,21,152,4,3,39,26,TRUE
10,13,1.3,1.3,4,26,2,2,12,9,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
4,4,1,1,5,8,2,1,3,4,TRUE
11,16,1.4545,1.4545,8,32,2,2,33,15,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
4,3,0.75,0.75,3,6,1,1,0,0,TRUE
7,7,1,1,4,14,2,2,0,0,TRUE
17,25,1.4706,1.4706,11,50,2,2,17,11,TRUE
23,35,1.5217,1.5217,10,70,3,2,25,12,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
20,32,1.6,1.6,11,64,3,2,20,11,TRUE
4,5,1.25,1.25,4,10,2,2,7,5,TRUE
10,10,1,1,5,20,2,2,9,4,TRUE
10,12,1.2,1.2,4,24,2,2,12,9,TRUE
26,42,1.6154,1.6154,11,84,3,2,18,9,TRUE
23,39,1.6957,1.6957,11,78,3,3,8,4,TRUE
24,40,1.6667,1.6667,16,80,3,2,27,13,TRUE
20,30,1.5,1.5,11,60,3,2,19,11,TRUE
6,7,1.1667,1.1667,5,14,2,2,0,0,FALSE
21,30,1.4286,1.4286,9,60,2,2,8,6,FALSE
27,44,1.6296,1.6296,11,88,3,2,23,9,FALSE
19,31,1.6316,1.6316,7,62,3,3,21,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
12,15,1.25,1.25,6,30,2,2,0,0,FALSE
30,60,2,2,15,120,4,3,29,14,FALSE
3,4,1.3333,1.3333,4,8,2,2,10,8,FALSE
20,30,1.5,1.5,8,60,3,2,18,8,FALSE
10,14,1.4,1.4,9,28,2,2,10,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
14,18,1.2857,1.2857,7,36,2,2,13,7,FALSE
8,9,1.125,1.125,4,18,2,2,8,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,34,1.4783,1.4783,10,68,2,2,12,7,FALSE
27,46,1.7037,1.7037,9,92,3,3,8,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,10,1.25,1.25,5,20,2,2,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,2,7,5,FALSE
6,6,1,1,4,12,2,1,8,5,FALSE
21,33,1.5714,1.5714,8,66,3,2,16,8,FALSE
8,11,1.375,1.375,6,22,2,2,7,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,40,1.7391,1.7391,12,80,3,2,7,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,9,1.125,1.125,6,18,2,2,8,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
16,22,1.375,1.375,10,44,2,2,8,6,FALSE
9,14,1.5556,1.5556,7,28,3,2,8,6,FALSE
10,14,1.4,1.4,8,28,2,2,8,6,FALSE
0,0,0,0,0,0,0,0,28,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
16,21,1.3125,1.3125,8,42,2,2,15,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
37,73,1.973,1.973,16,146,3,3,27,9,FALSE
12,15,1.25,1.25,6,30,2,2,0,0,FALSE
8,10,1.25,1.25,5,20,2,2,0,0,FALSE
6,9,1.5,1.5,5,18,3,2,6,5,FALSE
19,33,1.7368,1.7368,9,66,3,2,14,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
10,14,1.4,1.4,6,28,2,2,10,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
25,37,1.48,1.48,8,74,3,3,13,8,FALSE
11,14,1.2727,1.2727,5,28,2,2,9,4,FALSE
15,21,1.4,1.4,9,42,2,2,8,4,FALSE
17,22,1.2941,1.2941,5,44,2,2,6,4,FALSE
10,12,1.2,1.2,5,24,2,2,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,33,1.7368,1.7368,9,66,3,2,14,9,FALSE
11,16,1.4545,1.4545,8,32,2,2,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
14,17,1.2143,1.2143,7,34,2,2,6,4,FALSE
26,44,1.6923,1.6923,10,88,3,3,26,10,FALSE
18,24,1.3333,1.3333,9,48,2,2,18,9,FALSE
28,45,1.6071,1.6071,10,90,3,2,19,8,FALSE
29,57,1.9655,1.9655,12,114,3,3,28,15,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,30,1.5,1.5,10,60,3,2,8,6,FALSE
27,44,1.6296,1.6296,11,88,3,2,23,9,FALSE
22,36,1.6364,1.6364,9,72,3,2,19,8,FALSE
7,10,1.4286,1.4286,4,20,2,3,7,4,FALSE
20,31,1.55,1.55,9,62,3,2,16,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
28,52,1.8571,1.8571,19,104,3,3,29,20,FALSE
13,18,1.3846,1.3846,7,36,2,2,12,7,FALSE
7,7,1,1,4,14,2,2,19,11,FALSE
23,36,1.5652,1.5652,12,72,3,2,9,7,FALSE
21,32,1.5238,1.5238,9,64,3,2,26,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
11,16,1.4545,1.4545,9,32,2,2,6,5,FALSE
9,11,1.2222,1.2222,6,22,2,2,0,0,FALSE
8,11,1.375,1.375,6,22,2,2,8,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,34,1.4783,1.4783,10,68,2,2,12,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,35,1.5217,1.5217,9,70,3,2,9,4,FALSE
0,0,0,0,0,0,0,0,7,4,FALSE
20,32,1.6,1.6,9,64,3,3,20,9,FALSE
19,28,1.4737,1.4737,10,56,2,2,21,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
6,7,1.1667,1.1667,5,14,2,2,6,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,39,15,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,7,1,1,4,14,2,2,7,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
26,45,1.7308,1.7308,15,90,3,2,24,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
10,13,1.3,1.3,7,26,2,2,10,7,FALSE
3,3,1,1,4,6,2,1,0,0,FALSE
0,0,0,0,0,0,0,0,9,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,26,1.3684,1.3684,9,52,2,2,16,8,FALSE
20,25,1.25,1.25,7,50,2,2,9,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,4,20,2,3,7,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,33,1.5,1.5,12,66,3,2,0,0,FALSE
3,3,1,1,4,6,2,1,0,0,FALSE
24,38,1.5833,1.5833,9,76,3,2,21,8,FALSE
7,7,1,1,4,14,2,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,11,1.2222,1.2222,6,22,2,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
12,17,1.4167,1.4167,7,34,2,2,12,7,FALSE
8,8,1,1,4,16,2,2,8,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
6,8,1.3333,1.3333,5,16,2,2,9,5,FALSE
37,73,1.973,1.973,16,146,3,3,27,9,FALSE
0,0,0,0,0,0,0,0,9,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
10,10,1,1,5,20,2,2,0,0,FALSE
8,11,1.375,1.375,6,22,2,2,8,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
10,12,1.2,1.2,5,24,2,2,10,5,FALSE
20,31,1.55,1.55,11,62,3,2,25,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,8,0.8889,0.8889,4,16,1,1,9,4,FALSE
10,12,1.2,1.2,5,24,2,2,10,5,FALSE
12,13,1.0833,1.0833,6,26,2,2,11,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,7,1,1,4,14,2,2,7,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
28,45,1.6071,1.6071,10,90,3,2,19,8,FALSE
10,14,1.4,1.4,6,28,2,2,10,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
25,40,1.6,1.6,9,80,3,2,24,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,14,1.5556,1.5556,7,28,3,2,8,6,FALSE
8,10,1.25,1.25,5,20,2,2,9,5,FALSE
20,29,1.45,1.45,10,58,2,2,19,10,FALSE
13,17,1.3077,1.3077,7,34,2,2,0,0,FALSE
23,35,1.5217,1.5217,13,70,3,2,23,13,FALSE
0,0,0,0,0,0,0,0,52,26,FALSE
18,26,1.4444,1.4444,9,52,2,2,18,9,FALSE
0,0,0,0,0,0,0,0,8,6,FALSE
13,18,1.3846,1.3846,10,36,2,2,9,6,FALSE
22,36,1.6364,1.6364,9,72,3,2,19,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
6,7,1.1667,1.1667,4,14,2,2,6,4,FALSE
8,10,1.25,1.25,5,20,2,2,9,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,7,1,1,4,14,2,2,7,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,12,1.5,1.5,7,24,3,2,8,7,FALSE
28,49,1.75,1.75,11,98,3,3,14,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
10,13,1.3,1.3,6,26,2,2,10,6,FALSE
21,33,1.5714,1.5714,10,66,3,2,15,8,FALSE
8,10,1.25,1.25,5,20,2,2,0,0,FALSE
12,16,1.3333,1.3333,6,32,2,2,12,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,9,1.125,1.125,5,18,2,2,8,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
11,16,1.4545,1.4545,8,32,2,2,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,10,1.25,1.25,5,20,2,2,9,5,FALSE
20,29,1.45,1.45,10,58,2,2,19,10,FALSE
8,11,1.375,1.375,6,22,2,2,8,5,FALSE
18,25,1.3889,1.3889,7,50,2,2,12,4,FALSE
28,52,1.8571,1.8571,19,104,3,3,29,20,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,9,1.125,1.125,4,18,2,2,8,4,FALSE
0,0,0,0,0,0,0,0,10,9,FALSE
9,9,1,1,4,18,2,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
14,20,1.4286,1.4286,11,40,2,2,13,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,35,1.5909,1.5909,10,70,3,2,22,10,FALSE
6,9,1.5,1.5,5,18,3,2,6,5,FALSE
9,10,1.1111,1.1111,5,20,2,2,8,4,FALSE
11,15,1.3636,1.3636,7,30,2,2,4,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
26,45,1.7308,1.7308,15,90,3,2,24,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
11,16,1.4545,1.4545,7,32,2,2,11,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,11,1.375,1.375,6,22,2,2,8,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
25,48,1.92,1.92,16,96,3,3,25,16,FALSE
0,0,0,0,0,0,0,0,13,7,FALSE
18,24,1.3333,1.3333,8,48,2,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,36,1.5652,1.5652,9,72,3,2,18,7,FALSE
12,17,1.4167,1.4167,7,34,2,2,19,8,FALSE
24,47,1.9583,1.9583,11,94,3,3,23,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
11,16,1.4545,1.4545,8,32,2,2,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,18,1.3846,1.3846,7,36,2,2,7,5,FALSE
19,30,1.5789,1.5789,8,60,3,3,11,7,FALSE
