f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,contains_bug
47,5,84,403.82,26.05,6259.18,347.73,28,53,9,TRUE
89,14,277,1674.3,51.74,54181.04,3010.06,69,156,27,TRUE
22,7,57,257.83,19.7,3375.4,187.52,18,33,13,TRUE
8,1,20,74.01,37,148.02,8.22,6,11,1,FALSE
16,3,34,144.43,12.96,1609.36,89.41,11,21,5,FALSE
55,3,155,767.9,29.79,19797.43,1099.86,22,100,5,FALSE
69,11,215,1010.59,37.8,27018.54,1501.03,64,114,21,TRUE
7,1,18,62.27,21.35,181.62,10.09,4,11,1,FALSE
33,6,139,724.11,25.48,20580.08,1143.34,25,79,11,TRUE
34,7,130,661.37,22.75,19230.61,1068.37,27,94,13,TRUE
35,9,93,501.49,39.86,6308.69,350.48,32,56,15,TRUE
7,2,14,48.43,13.45,174.36,9.69,6,8,3,FALSE
29,5,68,336.89,18.5,6136.13,340.9,21,38,9,FALSE
25,7,0,0,0,0,0,0,0,13,FALSE
69,9,208,1106.96,32.2,38058.37,2114.35,50,135,17,TRUE
7,1,16,55.35,18.98,161.44,8.97,4,9,1,FALSE
14,3,27,110.36,9.2,1324.34,73.57,10,17,5,FALSE
10,2,23,82.45,16.49,412.27,22.9,7,13,3,TRUE
101,8,334,2111.52,78.57,56742.73,3152.37,83,183,15,TRUE
39,1,0,0,0,0,0,0,0,1,TRUE
8,1,24,96,16.59,555.43,30.86,7,15,1,TRUE
37,5,143,721.35,38.84,13396.47,744.25,26,78,9,TRUE
4,1,7,19.65,7.86,49.13,2.73,2,5,1,TRUE
11,2,33,149.28,25.05,889.45,49.41,9,20,3,TRUE
8,3,20,81.75,18.17,367.87,20.44,4,12,5,FALSE
18,2,39,165.67,17.57,1562.02,86.78,11,28,3,TRUE
52,4,167,947.3,53.37,16814.49,934.14,35,96,7,TRUE
28,4,102,518.91,32.87,8193.49,455.19,23,62,7,FALSE
14,4,38,161.42,9.93,2623.1,145.73,9,23,7,TRUE
10,2,37,157.17,23.28,1060.92,58.94,8,22,3,FALSE
5,1,14,50.19,11.95,210.8,11.71,3,8,1,FALSE
119,9,300,1862.84,74.63,46500.6,2583.37,79,174,17,TRUE
17,2,41,185.47,30.37,1132.67,62.93,15,22,3,FALSE
9,2,26,96.21,25.66,360.79,20.04,7,14,3,TRUE
14,1,0,0,0,0,0,0,0,1,FALSE
324,19,1743,12426.34,354.41,435698.56,24205.48,242,995,37,TRUE
10,3,17,64.73,11.99,349.52,19.42,6,11,5,FALSE
67,5,309,1725.75,53.85,55302.55,3072.36,52,167,9,TRUE
99,2,384,2454.65,140.27,42956.37,2386.47,81,209,3,TRUE
12,2,16,59.21,12.33,284.19,15.79,7,10,3,TRUE
29,10,122,610,24.9,14945,830.28,24,73,19,TRUE
50,7,184,902.87,22.25,36630.64,2035.04,41,113,13,TRUE
38,6,84,408.07,25.72,6474.72,359.71,27,50,11,FALSE
8,1,13,43.19,11.52,161.94,9,4,8,1,FALSE
12,2,30,129.66,15.72,1069.68,59.43,5,19,3,FALSE
23,5,54,267.53,15.36,4659.42,258.86,19,32,9,TRUE
12,1,24,96,19.2,480,26.67,8,14,1,FALSE
13,3,26,104,9.45,1144,63.56,10,16,5,FALSE
258,41,386,2735.76,74.16,100924.41,5606.91,213,255,42,TRUE
61,2,118,685.27,168.31,2790.02,155,29,61,3,TRUE
262,30,0,0,0,0,0,0,0,59,TRUE
14,3,22,83.76,13.3,527.7,29.32,10,15,5,TRUE
10,1,27,93.4,20.38,428.1,23.78,6,16,1,FALSE
39,3,129,686.53,47.22,9981.07,554.5,28,75,5,FALSE
21,3,61,249.34,20.15,3085.52,171.42,16,39,5,TRUE
126,10,263,1390.06,23.58,81940.43,4552.25,67,151,19,TRUE
5,1,11,34.87,17.43,69.74,3.87,3,6,1,FALSE
100,6,270,1594.86,59.84,42509.17,2361.62,73,171,9,TRUE
38,10,121,639.53,49.62,8242.87,457.94,35,63,19,FALSE
60,8,146,801.81,41.47,15501.67,861.2,46,88,15,TRUE
50,10,108,540,22.98,12690,705,29,61,19,FALSE
164,6,755,4530,114.66,178979.41,9943.3,159,445,11,FALSE
7,1,20,71.7,20.49,250.95,13.94,4,13,1,FALSE
4,1,7,19.65,9.83,39.3,2.18,2,4,1,TRUE
95,2,440,2732.16,121.52,61428.8,3412.71,53,229,3,TRUE
33,7,111,613.12,31.88,11790.68,655.04,30,61,13,TRUE
23,2,71,311.85,22.13,4394.31,244.13,16,40,3,FALSE
42,2,121,711.8,47.7,10620.8,590.04,33,67,3,FALSE
61,26,297,1795.19,55.94,57612.92,3200.72,41,177,51,TRUE
30,4,0,0,0,0,0,0,0,5,FALSE
39,8,126,695.97,29.2,16587.25,921.51,33,74,15,TRUE
4,1,16,59.21,14.8,236.83,13.16,2,11,1,FALSE
130,27,456,2952.93,103.97,83867.81,4659.32,76,293,53,TRUE
95,17,333,1839.35,35.96,94089.63,5227.2,70,200,33,TRUE
4,1,11,34.87,17.43,69.74,3.87,2,6,1,FALSE
26,5,38,164.23,32.85,821.17,45.62,19,28,6,FALSE
78,15,0,0,0,0,0,0,0,29,TRUE
45,5,126,691.97,37.88,12641.82,702.32,34,76,9,FALSE
19,3,49,211.77,25.88,1732.7,96.26,15,29,5,FALSE
21,3,52,241.48,22.32,2612.38,145.13,15,35,5,TRUE
40,11,91,499.76,53.55,4664.41,259.13,38,63,12,FALSE
135,11,352,2317.91,124.77,43059.58,2392.2,92,191,21,TRUE
23,5,106,530,44.85,6263.64,347.98,19,54,9,FALSE
81,12,201,1172.41,86.26,15934.13,885.23,63,109,23,TRUE
129,30,402,2583.36,55.65,119927.45,6662.64,111,260,58,TRUE
9,3,25,106.2,23.6,477.89,26.55,5,15,5,FALSE
4,1,11,34.87,17.43,69.74,3.87,2,6,1,FALSE
45,6,139,784.5,39.94,15409.74,856.1,34,89,8,TRUE
24,1,76,372.92,53.27,2610.47,145.03,17,48,1,FALSE
231,22,487,3345.87,88.61,126335.35,7018.63,145,268,43,TRUE
8,1,19,74.23,14.14,389.71,21.65,5,12,1,FALSE
16,3,30,122.62,11.15,1348.86,74.94,11,18,5,TRUE
53,7,92,479.27,34.17,6721.76,373.43,39,59,13,FALSE
4,1,6,15.51,7.75,31.02,1.72,2,4,1,FALSE
37,5,122,625.77,28.2,13888.67,771.59,30,75,9,FALSE
62,6,169,953.81,52.16,17443.19,969.07,47,98,11,TRUE
2,1,15,51.89,9.88,272.43,15.14,0,9,1,FALSE
23,7,62,312.75,20.33,4811.58,267.31,17,42,13,FALSE
10,2,29,129.32,23.51,711.28,39.52,8,18,3,TRUE
11,2,23,92,13.01,650.57,36.14,7,12,3,TRUE
34,5,91,427.74,19.44,9410.28,522.78,14,47,9,TRUE
69,3,300,1772.07,88.89,35325.77,1962.54,55,169,5,FALSE
62,10,159,851.85,30.05,24149.97,1341.66,46,105,18,FALSE
18,2,41,180.09,17.05,1902.15,105.67,11,28,3,TRUE
24,3,56,249.73,18.1,3446.25,191.46,18,33,5,TRUE
24,3,64,325.6,38.96,2721.07,151.17,20,37,5,TRUE
18,3,30,117.21,10.66,1289.27,71.63,12,19,5,FALSE
135,33,370,2275.41,58.63,88305.13,4905.84,125,218,57,TRUE
35,4,62,294.8,29.48,2948.03,163.78,23,37,7,TRUE
5,1,10,33.22,9.49,116.27,6.46,2,7,1,FALSE
100,14,269,1665.06,50.59,54805.37,3044.74,90,152,27,TRUE
28,3,95,502.11,40.76,6186.03,343.67,20,51,5,TRUE
22,3,58,275.78,27.58,2757.83,153.21,14,33,5,FALSE
48,3,136,691.89,34.68,13803.3,766.85,35,79,5,FALSE
60,13,166,871.16,74.85,10138.45,563.25,55,91,25,FALSE
4,1,10,30,15,60,3.33,2,6,1,TRUE
13,2,39,171.3,20.76,1413.23,78.51,8,24,3,FALSE
38,9,121,656.58,29.27,14728.24,818.24,31,76,17,FALSE
60,16,189,1005.84,20.94,48310.12,2683.9,43,122,31,TRUE
537,18,2158,16602.54,265.68,1037522.97,57640.16,375,1205,35,TRUE
17,2,25,95.18,12.98,698.02,38.78,9,14,3,FALSE
43,15,134,687.32,32.22,14662.91,814.61,36,70,29,FALSE
19,4,48,203.9,22.43,1853.64,102.98,15,23,7,FALSE
20,1,0,0,0,0,0,0,0,1,TRUE
191,32,547,3601.97,82.89,156531.52,8696.2,169,315,63,TRUE
139,12,485,2853.08,60.06,135521.39,7528.97,97,285,23,TRUE
117,10,181,1026.71,21.03,50129.07,2784.95,50,118,17,FALSE
85,16,0,0,0,0,0,0,0,31,FALSE
4,1,5,11.61,7.74,17.41,0.97,2,3,1,FALSE
14,2,44,146.16,7.83,2728.41,151.58,11,28,3,FALSE
16,3,32,135.93,17.48,1057.26,58.74,11,18,5,TRUE
14,2,26,104,10.51,1029.59,57.2,6,17,3,FALSE
4,1,0,0,0,0,0,0,0,1,FALSE
12,4,49,224.66,21.4,2358.96,131.05,8,28,7,TRUE
6,1,6,15.51,7.75,31.02,1.72,2,4,1,FALSE
6,1,9,23.26,11.63,46.53,2.58,3,5,1,TRUE
51,6,153,849.85,32.74,22062.16,1225.68,37,94,11,FALSE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
37,7,0,0,0,0,0,0,0,13,TRUE
80,13,244,1397.61,37.59,51967.89,2887.11,51,147,25,TRUE
171,16,644,4230.99,123.53,144911.31,8050.63,115,370,31,TRUE
18,1,41,185.47,123.64,278.2,15.46,11,21,1,FALSE
94,19,267,1595.93,60.1,42382.92,2354.61,77,144,37,TRUE
50,5,0,0,0,0,0,0,0,9,TRUE
92,8,176,1031,76.77,13846.63,769.26,62,99,15,TRUE
93,6,291,1334.22,18.33,97131.51,5396.2,69,187,11,FALSE
13,2,21,77.71,9.87,611.96,34,8,14,3,TRUE
52,7,160,845.66,28.6,25007.5,1389.31,46,91,13,TRUE
5,1,17,60.94,17.41,213.31,11.85,3,10,1,FALSE
12,2,20,76.15,12.09,479.73,26.65,8,13,3,FALSE
74,20,412,2793.92,57.62,135464.04,7525.78,70,255,21,TRUE
10,1,9,25.27,9.47,67.38,3.74,4,5,1,TRUE
14,3,33,144.95,16.21,1295.46,71.97,9,22,5,TRUE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
28,7,91,470.46,20.34,10879.46,604.41,24,54,13,TRUE
10,2,21,79.95,12.69,503.71,27.98,8,14,3,FALSE
5,1,11,34.87,13.95,87.17,4.84,3,7,1,FALSE
173,19,432,2665.41,86.92,81739.17,4541.06,103,248,37,TRUE
17,3,28,109.39,14.73,812.63,45.15,13,15,5,TRUE
162,15,479,3028.2,76.97,119135.9,6618.66,107,284,29,FALSE
16,3,45,206.32,20.54,2072.61,115.15,11,28,5,TRUE
35,9,127,656.58,32.83,13131.61,729.53,18,71,17,FALSE
9,1,29,118.54,33.43,420.27,23.35,6,16,1,FALSE
17,2,38,161.42,21.34,1220.75,67.82,11,27,3,TRUE
33,5,54,253.82,22.07,2918.97,162.17,21,32,9,FALSE
25,5,0,0,0,0,0,0,0,9,TRUE
52,1,133,730.42,88.54,6025.94,334.77,24,67,1,FALSE
45,3,118,584.6,25.49,13406.72,744.82,33,75,5,TRUE
31,4,85,449.26,38.85,5194.56,288.59,24,48,7,FALSE
14,5,0,0,0,0,0,0,0,9,FALSE
8,1,17,58.81,39.21,88.22,4.9,5,9,1,TRUE
415,90,1194,8462.43,114.83,623616.04,34645.34,351,715,179,TRUE
42,3,54,247.59,19.65,3119.61,173.31,22,36,5,TRUE
10,1,24,93.77,25.57,343.81,19.1,6,13,1,FALSE
22,3,87,413.68,30.42,5625.98,312.55,12,53,5,FALSE
6,1,13,36.5,16.21,82.12,4.56,4,7,1,FALSE
18,3,55,245.27,17.77,3384.71,188.04,12,32,5,FALSE
43,9,0,0,0,0,0,0,0,17,TRUE
5,1,17,60.94,17.41,213.31,11.85,3,10,1,FALSE
14,3,32,135.93,26.7,692.03,38.45,9,18,5,FALSE
63,9,106,520.13,21.17,12780.35,710.02,16,63,17,TRUE
41,3,99,499.4,49.94,4993.95,277.44,26,53,5,TRUE
4,1,5,11.61,7.74,17.41,0.97,2,3,1,FALSE
19,1,23,92,20.44,414,23,5,14,1,FALSE
37,4,170,973.75,39.05,24282.8,1349.04,35,94,7,FALSE
28,2,55,248.8,22.81,2714.14,150.79,15,35,3,FALSE
11,1,24,83.03,10.54,653.83,36.32,5,15,1,FALSE
11,2,23,94.01,14.65,603.24,33.51,9,16,3,FALSE
17,3,72,356.7,27.44,4637.13,257.62,12,36,5,FALSE
17,3,53,232.79,15.08,3593.74,199.65,13,34,5,TRUE
187,35,526,3296.33,77.45,140300.03,7794.45,164,299,69,TRUE
10,1,1,0,0,0,0,1,1,1,TRUE
15,2,25,89.62,14.23,564.63,31.37,12,16,3,FALSE
19,2,53,225.14,17.24,2940.89,163.38,10,34,3,TRUE
148,19,516,3223.93,93,111762.93,6209.05,118,308,37,TRUE
157,19,544,3486.71,76.73,158448.41,8802.69,110,299,37,TRUE
134,27,0,0,0,0,0,0,0,53,TRUE
53,2,279,1763.82,117.59,26457.27,1469.85,44,159,3,TRUE
9,1,0,0,0,0,0,0,0,1,FALSE
46,3,66,330,43.45,2506.43,139.25,30,37,5,TRUE
178,11,523,3277.53,79.1,135812.62,7545.15,114,302,21,TRUE
34,9,0,0,0,0,0,0,0,17,TRUE
65,8,224,1207.88,39.77,36689.33,2038.3,49,143,15,FALSE
24,7,129,661.68,31.43,13930.05,773.89,21,79,13,FALSE
11,2,17,58.81,16.8,205.84,11.44,8,13,3,FALSE
355,88,0,0,0,0,0,0,0,181,TRUE
37,4,73,371.38,36.59,3769.56,209.42,23,44,7,TRUE
31,15,0,0,0,0,0,0,0,29,FALSE
8,2,25,100,15.38,650,36.11,5,12,3,FALSE
72,6,245,1360.87,42.67,43402.17,2411.23,52,151,11,TRUE
96,1,468,2828.78,150.87,53039.56,2946.64,68,258,1,TRUE
25,9,86,413.43,14.36,11906.86,661.49,20,54,17,FALSE
43,12,70,346.79,23.8,5053.28,280.74,33,46,20,TRUE
38,4,210,1117.6,46.12,27080.43,1504.47,29,120,7,TRUE
27,1,96,434.26,27.87,6767.25,375.96,19,62,1,TRUE
19,4,51,230.7,24.99,2129.55,118.31,15,27,7,FALSE
415,9,2057,15427.18,280.16,849494.97,47194.17,384,1118,17,TRUE
18,2,0,0,0,0,0,0,0,3,FALSE
30,6,0,0,0,0,0,0,0,11,FALSE
22,3,77,391.73,38.82,3952.96,219.61,16,40,5,TRUE
7,1,6,15.51,7.75,31.02,1.72,2,4,1,TRUE
147,21,547,3329.84,53.52,207163.75,11509.1,108,346,41,TRUE
56,6,178,1063.96,84.07,13465.69,748.09,49,97,11,TRUE
5,1,15,55.51,13.88,222.03,12.33,3,10,1,FALSE
28,3,72,375.08,50.41,2790.6,155.03,22,41,5,TRUE
30,5,100,545.94,26,11464.81,636.93,21,58,9,TRUE
24,2,82,406.24,32.99,5003.22,277.96,21,43,3,FALSE
31,4,62,312.75,27.8,3518.46,195.47,25,35,6,FALSE
27,6,64,314.04,21.98,4486.3,249.24,21,39,11,TRUE
8,2,16,60.92,15.23,243.67,13.54,6,10,3,FALSE
24,4,107,600.77,55.07,6553.9,364.11,23,62,7,FALSE
24,3,52,224.74,13.45,3756.37,208.69,18,34,5,TRUE
24,4,71,341.32,27.58,4223.86,234.66,21,38,7,FALSE
23,10,110,568.69,30.91,10463.93,581.33,20,64,19,FALSE
23,2,38,171.9,15.79,1871.75,103.99,13,24,3,TRUE
124,7,643,4005.13,109.36,146687.9,8149.33,112,350,13,TRUE
58,11,225,1300.81,35.82,47232.71,2624.04,54,144,21,TRUE
28,4,103,532.5,50.71,5591.27,310.63,21,61,7,FALSE
160,11,0,0,0,0,0,0,0,21,TRUE
112,6,136,737.97,29.59,18403.18,1022.4,44,73,10,TRUE
6,1,23,79.57,25.32,250.07,13.89,3,12,1,FALSE
115,31,0,0,0,0,0,0,0,65,FALSE
61,8,146,801.81,41.47,15501.67,861.2,46,88,15,TRUE
44,5,142,770.53,29.35,20226.4,1123.69,31,87,9,TRUE
148,14,475,3083.63,80.84,117618.47,6534.36,112,297,26,TRUE
123,53,489,2911.6,51.3,165253.09,9180.73,84,321,105,TRUE
46,5,161,899.18,50.45,16025.69,890.32,36,96,9,FALSE
15,3,34,138.97,14.97,1290.47,71.69,11,21,5,FALSE
9,1,16,57.36,22.94,143.4,7.97,5,9,1,TRUE
43,4,137,708.28,39.66,12647.85,702.66,30,87,7,TRUE
44,3,92,451.43,26.55,7674.38,426.35,35,58,5,FALSE
20,2,62,267.96,20.61,3483.47,193.53,17,36,3,FALSE
5,1,11,38.05,10.87,133.19,7.4,2,7,1,TRUE
16,2,63,325.71,36.56,2901.74,161.21,15,35,3,FALSE
39,6,132,660,31.83,13685.29,760.29,31,85,11,FALSE
58,3,219,1248.4,60.38,25811.44,1433.97,42,117,5,TRUE
36,10,116,625.51,27.2,14386.7,799.26,25,70,19,TRUE
81,15,266,1485.6,72.72,30348.69,1686.04,72,156,29,TRUE
17,2,40,178.38,19,1674.76,93.04,11,27,3,TRUE
54,7,0,0,0,0,0,0,0,11,FALSE
5,1,7,19.65,9.83,39.3,2.18,2,4,1,FALSE
4,2,14,48.43,9.08,258.3,14.35,2,10,3,FALSE
9,1,22,83.76,16.75,418.81,23.27,6,12,1,FALSE
194,21,345,2266.6,107.44,47815.95,2656.44,112,205,41,TRUE
27,6,98,471.12,35.33,6281.61,348.98,24,50,11,FALSE
12,2,17,62.91,15.73,251.63,13.98,10,12,3,FALSE
46,7,0,0,0,0,0,0,0,13,TRUE
92,5,0,0,0,0,0,0,0,9,FALSE
18,3,41,182.84,29.25,1142.73,63.48,15,26,5,FALSE
33,2,0,0,0,0,0,0,0,3,TRUE
27,5,66,326.98,24.52,4359.69,242.21,23,41,8,FALSE
57,9,0,0,0,0,0,0,0,17,TRUE
65,6,112,596.06,38.96,9119.66,506.65,37,61,11,FALSE
49,10,160,868.2,43.22,17441.57,968.98,40,85,19,TRUE
55,6,153,757.99,28.76,19975.32,1109.74,38,89,11,TRUE
90,10,0,0,0,0,0,0,0,19,FALSE
4,1,10,33.22,9.49,116.27,6.46,2,7,1,FALSE
31,2,133,692.86,58.49,8207.69,455.98,21,77,3,FALSE
26,3,63,292.56,31.03,2758.45,153.25,8,39,5,TRUE
20,2,33,137.61,28.67,660.52,36.7,14,21,3,FALSE
30,5,61,267.93,36.28,1978.57,109.92,26,37,9,FALSE
74,7,256,1444.83,83.29,25062.19,1392.34,65,133,13,FALSE
67,12,242,1399.09,32.18,60836.25,3379.79,60,148,23,TRUE
4,1,16,59.21,14.8,236.83,13.16,2,11,1,FALSE
7,2,14,50.19,14.34,175.66,9.76,5,9,3,TRUE
37,4,126,599.12,34.86,10297.3,572.07,28,76,7,TRUE
8,1,28,112,37.91,330.91,18.38,6,15,1,TRUE
219,31,0,0,0,0,0,0,0,61,TRUE
59,11,149,808.51,22.46,29106.48,1617.03,42,92,21,FALSE
25,5,0,0,0,0,0,0,0,9,TRUE
25,3,55,237.71,25.26,2236.6,124.26,19,32,5,TRUE
31,1,0,0,0,0,0,0,0,1,TRUE
26,6,79,383.78,29.52,4989.15,277.17,13,47,11,FALSE
43,11,235,1290.59,88.65,18789.41,1043.85,30,145,21,TRUE
47,14,185,1044.1,36.97,29487.2,1638.18,43,107,27,FALSE
18,4,31,126.71,12.57,1277.67,70.98,8,20,7,TRUE
49,13,190,1066.79,34.91,32596.51,1810.92,40,117,25,FALSE
10,1,31,126.71,22.53,712.75,39.6,5,21,1,FALSE
35,12,95,451.71,19.97,10215.69,567.54,30,53,23,FALSE
92,10,306,1869.21,67.82,51520.06,2862.23,69,180,19,TRUE
6,1,4,8,5.33,12,0.67,2,3,1,TRUE
17,3,113,496.33,24.51,10050.72,558.37,15,59,5,TRUE
92,15,212,1208.49,43.37,33676.68,1870.93,59,136,29,TRUE
41,5,0,0,0,0,0,0,0,9,TRUE
6,1,10,28.07,10.53,74.86,4.16,3,6,1,FALSE
41,8,0,0,0,0,0,0,0,15,FALSE
58,1,118,679.08,292.71,1575.46,87.53,29,60,1,TRUE
22,3,0,0,0,0,0,0,0,5,FALSE
58,11,156,909.93,44.1,18774.01,1043,49,95,19,TRUE
110,17,237,1301.57,40.83,41487.52,2304.86,91,132,33,TRUE
19,4,46,210.91,17.72,2509.81,139.43,15,29,7,FALSE
55,5,0,0,0,0,0,0,0,9,FALSE
113,16,350,2083.96,50.48,86030.5,4779.47,96,210,31,TRUE
76,13,274,1477.49,31.44,69442.26,3857.9,60,180,25,TRUE
20,3,41,180.09,19.29,1680.79,93.38,14,27,5,TRUE
70,9,227,1281.16,41.81,39258.26,2181.01,39,149,17,TRUE
24,10,60,288.44,17.31,4807.35,267.08,20,35,19,TRUE
11,1,16,57.36,13.66,240.91,13.38,4,10,1,FALSE
11,3,27,116.69,17.36,784.43,43.58,6,16,5,TRUE
36,6,157,857.13,53.79,13658.79,758.82,31,81,11,TRUE
121,22,345,2062.15,86.26,49298.55,2738.81,102,192,43,TRUE
107,16,363,2209.75,67.95,71864.88,3992.49,76,227,31,TRUE
4,1,9,28.53,9.51,85.59,4.75,2,6,1,FALSE
36,6,0,0,0,0,0,0,0,11,TRUE
21,2,57,250.36,16.21,3864.96,214.72,16,38,3,TRUE
13,1,0,0,0,0,0,0,0,1,FALSE
44,3,103,489.75,54.1,4433.56,246.31,26,60,5,TRUE
7,1,14,48.43,13.45,174.36,9.69,4,8,1,FALSE
