ent,nrev,tcmt,age,oexp,argument_list if condition,if condition expr,name if condition,condition expr operator,operator if condition,contains_bug
0.905712598,1,26,1247988,233,0,0,0,0,0,1
0.764204507,3,14,1557418,487,2,12,5,3,4,1
0.619382195,3,20,935531,2621,0,5,3,0,2,1
0.604105268,7,37,6197281.5,2206,0,43,8,6,7,1
0,4,30,4980177,1029,0,0,0,0,0,1
0.484242069,9,58,3851764,1125,0,13,2,2,1,1
0,1,3,686616,563,0,0,0,0,0,1
0,1,3,1031593,500,0,0,0,0,0,1
0.771011566,12,48,1668107.592,3345,48,2469,296,811,224,1
0.650022422,1,16,20627574,1733,0,10,4,3,4,1
0.805824049,25,110,312555.5,1162,3,150,28,25,22,1
0.63269953,12,44,76,1258,0,9,0,2,0,1
0.716435422,5,17,973782.25,325,1,49,20,8,8,1
0,3,19,450604,1169,0,15,6,4,6,1
0,6,31,2044075,1163,0,20,0,3,0,1
0.876581903,4,23,634232.8182,2669,1,26,15,3,9,1
0.398225072,6,23,2064219,370,9,73,26,15,25,1
0.918295834,1,6,191338,42,0,0,0,0,0,1
0.643784086,4,14,1559536,1220,0,7,2,3,3,1
0.139232999,3,26,409498,780,0,34,0,23,0,1
0.812675613,7,30,1769205.4,515,0,49,0,10,0,1
0.808606243,6,20,447988.25,782,4,26,12,5,9,1
0.79521427,1,6,115238.6667,545,9,53,12,9,12,1
0.257504459,5,33,132749.5,2697,1,34,2,14,2,1
0.815915474,8,30,25798.33333,1146,0,127,39,67,61,1
0.392403382,6,31,2695163,4316,0,34,6,4,3,1
0,3,11,320919,2864,0,7,3,1,2,1
0,10,53,1111925,142,2,42,18,12,19,1
0,3,20,837846,328,0,0,0,0,0,1
0.961236605,3,17,85478,1598,1,19,10,2,7,1
0,2,11,525125,2722,3,20,5,4,5,1
0.540704097,4,24,68458,2212,1,30,7,13,3,1
0.863527302,6,27,169789,2140,0,0,1,0,0,1
0.337184152,16,75,118,1270,0,2,0,1,1,1
0.447499255,4,36,3669660,1274,0,37,0,15,0,1
0.511859507,1,16,350934.25,2351,0,9,3,3,2,1
0.618738812,2,23,1633711.25,2957,0,0,0,0,0,1
0,2,28,756534,2115,0,0,0,3,0,1
0,1,7,1469288,467,1,11,3,2,3,1
0,2,25,4035823,856,0,0,0,0,0,1
0.925695269,1,4,493933.4,575,6,42,16,10,16,1
0,2,13,1301217,1453,0,36,15,8,12,1
0.189278431,2,11,7757672,2182,0,0,0,2,0,1
0,3,37,1280509,3139,1,9,3,3,3,1
0.763552373,8,57,2309681.333,2003,5,83,24,16,16,1
0,1,14,491,3295,0,0,0,0,0,1
0.702725808,3,22,459814.5,2029,0,10,4,1,2,1
1,1,5,74177,2784,0,32,4,11,1,1
0,2,22,4082589,443,0,0,0,0,0,1
0.982683656,7,52,2946814,2107,1,43,3,11,2,1
0.884087037,22,134,5924006.4,2982,4,77,27,30,18,1
0.543782306,16,60,2509510,2548,0,7,4,1,3,1
0.743023116,4,21,1993576.25,2615,0,0,0,0,0,1
0.51341858,8,25,74311,2345,2,36,18,6,12,1
0.918295834,2,12,2107664.5,1568,1,30,0,9,2,1
0.543564443,1,10,5178551,1249,0,0,0,0,0,1
0.76743731,20,101,5601341,2583,0,1,14,0,2,1
0.71417425,6,36,489833.7778,2098,2,73,22,17,17,1
0.491237342,1,9,1115379,2911,0,52,23,20,20,1
0,3,14,4822883,2098,0,0,0,2,0,1
0.273376463,2,9,512851,2101,0,48,0,12,0,1
0.639404794,2,10,1382227.143,1767,0,0,0,9,0,1
0.173984998,10,39,432462,2705,0,186,34,34,24,1
0.797750127,2,14,2124958.227,656,10,404,7,88,6,1
0.762532484,12,44,2124848.4,2631,0,15,5,3,2,1
0.365717406,11,38,86397,2386,4,212,4,63,2,1
0.090398956,27,100,5965310,2940,2,102,4,12,4,1
0.45620264,8,45,3218323,849,8,180,37,54,31,1
0,11,39,477,2411,0,0,0,0,0,1
0.493244989,15,44,2056334,1115,0,9,0,3,0,1
0.857148875,1,4,5636092.25,1166,0,20,9,6,8,1
0.923219672,2,9,408779,1171,0,12,2,2,2,1
0.85123921,3,27,520004.4,682,4,45,14,9,11,1
0.539788253,10,66,3925394.857,743,0,69,9,21,8,1
0.343323301,3,13,3401,4965,0,8,4,2,3,1
0.712367309,2,8,6033597.25,1960,0,9,0,3,0,1
0,2,13,1211485,949,0,0,0,0,0,1
0.960229718,5,38,1037639,691,0,4,2,0,1,1
0,1,17,590509,2894,0,44,24,9,19,1
0,2,16,9073084,1577,0,0,0,0,0,1
0.368898499,14,63,1538753,2246,1,225,14,46,9,1
0.745602277,9,44,1697604.917,275,1,92,12,24,7,1
0.659187227,36,193,162105.7778,2954,0,0,0,0,0,1
0.731281813,2,10,2617197.167,802,0,5,1,1,2,1
0.801183019,8,46,6169612.7,2542,0,14,3,4,2,1
0,2,13,14292161,3185,0,0,0,0,0,1
0,2,9,319527,2131,0,0,0,0,0,1
0,1,7,351097,558,1,23,9,2,3,1
0.749127555,8,42,593174.8,1327,2,50,6,15,5,1
0.297472249,4,21,13957697,2671,0,8,1,2,0,1
0.156491063,1,10,1138519.5,3256,1,99,7,20,6,1
0.842088782,1,10,1448086,2688,0,7,2,2,1,1
0.311780615,6,22,141436,3266,0,11,3,4,0,1
0.842038487,5,25,447418,2582,0,48,2,25,2,1
0,1,4,407,2446,0,0,0,0,0,1
0.137099479,5,23,565492,3859,0,63,9,56,3,1
0.432025343,6,31,4495625.75,592,2,252,34,65,29,1
0.970950594,3,14,6943258.5,2705,3,32,11,9,9,1
0.453716339,4,52,708077,2523,1,13,5,4,4,1
0.92146324,1,12,247600,1491,0,0,0,2,0,1
0,2,11,13162,1208,0,0,0,0,0,1
0.205592508,8,28,7419106.5,1066,0,5,2,1,2,1
0.914759446,9,40,87005.41667,172,0,0,0,0,0,1
0.681463799,7,32,256887.6364,899,11,111,31,24,24,1
0.994984828,3,18,47552,439,0,6,3,2,3,1
0.953260208,15,77,2494,2327,0,100,6,34,5,1
0,1,31,318783,454,0,11,5,3,5,1
0,1,50,6630098,1941,0,15,7,3,7,1
0.783540268,4,33,7426786.321,1359,0,356,0,112,0,1
0.821585437,4,36,126734.25,451,0,13,0,16,0,1
0,2,13,482430,579,0,0,0,0,0,1
0.527285223,6,22,3392166.857,3395,0,0,0,0,0,1
0,1,11,568829,204,0,23,5,3,8,1
0,1,3,959606,348,1,11,5,2,4,1
0.7517535,5,16,9171,206,2,13,7,1,3,1
0.92801278,4,29,268491.8333,5629,0,0,0,0,0,1
0.913081832,4,19,1552352,372,0,0,0,0,0,1
0.795223635,5,32,5613396.5,3051,1,5,2,1,1,1
0.728371702,7,43,40822.81818,2264,0,0,0,0,0,1
0.893561061,1,14,244868.9121,1916,12,516,254,47,149,1
0.156491063,2,12,567609,64,0,32,20,8,12,1
0.155103272,4,28,15504689.5,658,0,15,0,4,0,1
0,2,16,1724300,2886,0,0,0,0,0,1
0.811839805,2,10,994336.8889,920,9,86,19,19,19,1
0.439496987,6,28,10025202,2273,2,10,3,5,5,1
0,2,11,6899387,1005,0,10,7,1,2,1
0.629210553,3,23,536217,4696,0,5,2,4,2,1
0,1,4,3281103,214,0,9,3,2,2,1
0.544481225,5,13,8239416.8,4218,4,107,35,13,27,1
0.81581935,3,16,3340971.8,563,0,0,0,0,0,1
0,1,8,682610,3119,0,0,0,0,0,1
0,3,7,239967,822,0,0,0,0,0,1
0,1,9,595651,4071,0,0,0,0,0,1
0,3,9,1905234,233,0,13,3,2,3,1
0,3,18,536085,1360,0,20,5,4,5,1
0,2,8,690124,223,0,0,0,0,0,1
0,1,4,232985,224,0,1,0,0,0,1
0.559363613,3,20,1056308,1108,0,6,4,1,1,1
0,2,6,17986080,125,0,10,2,2,2,1
0,2,9,411424,1826,0,11,0,1,0,1
0.768821857,2,7,1069622,915,3,12,5,2,4,0
0,1,10,87269,3233,0,5,2,3,2,0
0,1,9,2348242,1108,1,18,3,5,3,0
0,8,21,371984,1715,1,16,5,4,5,0
0,1,6,2736363,230,0,0,0,0,0,0
0,2,9,2056487,1399,0,2,1,1,1,0
0,2,5,4989984,431,0,0,0,0,0,0
0.688047624,1,15,76219,1995,0,0,0,0,0,0
0,2,6,1267850,920,0,0,0,0,0,0
0.322769763,2,14,442069,2497,2,28,11,9,12,0
0,5,25,3239415,782,0,22,14,2,4,0
0,1,5,157175,914,0,0,0,0,0,0
0.943669003,3,9,404920.2,2031,0,0,0,0,0,0
0,1,4,902115,1210,0,0,0,0,0,0
0.979868757,2,23,1317754,836,0,3,2,0,1,0
0,1,3,179497,1496,0,0,0,0,0,0
0,2,12,3113170,4374,0,0,0,0,0,0
0.543564443,2,10,21805072.5,925,0,0,0,0,0,0
1,2,18,306158,1878,0,0,0,0,0,0
0,3,20,583633,633,1,11,5,2,4,0
0,1,5,2740238,2585,0,0,0,0,0,0
0.931405915,6,48,3261426.857,2659,0,0,0,0,0,0
0,3,13,63001,2106,0,0,0,0,0,0
0.797175287,1,4,8474223.2,502,0,0,0,0,0,0
0,2,19,80557,1039,0,0,0,0,0,0
0,1,12,418575,1539,0,0,0,0,0,0
0,1,7,15647,1750,0,0,0,0,0,0
0,2,15,965380,1121,0,0,0,0,0,0
0,6,18,3274604,351,0,0,0,0,0,0
0.89988947,1,14,5711084.6,627,0,0,0,0,0,0
0.811278124,1,7,2699198,896,0,0,0,0,0,0
0.996791632,2,9,0,213,3,23,11,7,9,0
0.685220383,3,16,73219,3658,0,15,2,2,1,0
0,1,7,20319145,3729,0,0,0,0,0,0
0,1,7,5763511,345,1,24,3,5,2,0
0,1,3,6814746,3509,0,1,1,0,0,0
0,4,14,87485,3159,0,14,3,2,2,0
0,6,31,12158695,724,2,16,6,2,6,0
0.91835254,3,16,2970799,4137,0,0,5,0,1,0
0,1,3,179497,1496,0,0,0,0,0,0
0,2,11,141127,1144,0,0,0,0,0,0
0,2,5,471851,2576,0,0,0,0,0,0
0,2,9,2056487,1399,0,2,1,1,1,0
0.460037221,3,9,1105034,564,0,154,2,40,2,0
0,1,6,140051,2514,0,0,0,0,0,0
0,3,11,70,2765,0,19,10,6,9,0
0,3,9,1206484,3150,0,0,0,0,0,0
0.855952333,2,18,215207.1429,415,2,82,6,19,6,0
0,1,5,2836,633,0,0,0,0,0,0
0,1,3,3093969,2075,0,0,0,0,0,0
0.905928216,2,6,1550477,1020,0,13,6,8,5,0
0,1,13,521682,3589,0,2,1,0,0,0
0.721928095,2,7,1409518,2317,0,3,1,1,2,0
0,3,11,1135552,313,0,19,9,3,7,0
1,4,14,839049,610,2,66,13,24,16,0
0,2,7,788013,1393,0,0,0,0,0,0
0,2,9,3351229,2938,1,1,0,0,0,0
0,1,7,766273,3173,0,0,0,0,0,0
0.90773961,1,8,7687,679,0,0,0,0,0,0
0,1,6,515370,1566,0,0,0,0,0,0
0,2,9,614,1331,0,10,4,1,4,0
0.706221344,5,42,2289474.647,3166,2,34,15,14,16,0
0,3,11,70,2765,0,19,10,6,9,0
0,2,16,627411,857,0,0,0,0,0,0
0.844264793,7,46,475251.6667,917,2,22,4,6,4,0
0.825011211,3,18,18365074.75,3181,0,0,0,0,0,0
0.522559375,1,10,82628,3653,0,68,5,6,2,0
0,1,10,98023,4209,0,7,4,0,2,0
0,3,11,24513214,349,1,8,3,1,3,0
0.918295834,1,5,1487929,2920,0,5,2,1,2,0
0,1,7,27204,2512,0,0,0,0,0,0
0,5,18,3173610,1034,0,3,1,1,1,0
0.702466551,2,9,987546,1164,0,88,7,8,3,0
0,1,9,2348242,1108,1,18,3,5,3,0
1,5,25,6173704.333,734,0,0,0,0,0,0
0.894342646,1,14,80580,773,0,9,0,2,0,0
0,4,38,13174810,1869,0,0,0,0,0,0
0,2,6,73041,1510,0,0,0,0,0,0
0,4,12,181861,426,0,10,4,2,4,0
0.713158604,6,33,1500944.333,2982,0,3,1,6,2,0
0.50779567,7,47,3259650.333,143,0,86,20,58,18,0
0,3,8,462599,136,0,3,1,1,1,0
0,2,6,183454,686,0,0,0,0,0,0
0.905208405,2,10,159429,3896,0,0,0,0,0,0
0.537509612,7,49,370423.6667,1981,0,0,0,0,0,0
0.987468751,1,4,2151517,246,0,10,4,4,5,0
0.32984607,3,15,1118752,1943,0,0,0,0,0,0
0.918923585,3,14,1215679.2,1497,0,0,0,0,0,0
0.49324492,6,38,400089.6,1175,6,64,23,9,18,0
1,2,18,306158,1878,0,0,0,0,0,0
1,1,6,1478193,1525,0,0,0,0,0,0
0,4,17,419952,3780,0,0,0,0,0,0
0.591672779,3,19,28085487,534,0,0,0,0,0,0
1,1,11,200104,3848,0,0,0,0,0,0
0,2,9,510119,295,0,0,0,0,0,0
0,1,25,338926,470,0,0,0,0,0,0
0,2,5,16187312,1628,0,0,0,0,0,0
0,2,7,14688622,4311,0,0,0,0,0,0
0.721928095,2,31,19839914.5,3973,0,0,0,0,0,0
0.768684952,2,5,13262858,809,0,11,2,4,2,0
0,1,8,4132873,1232,1,8,3,1,3,0
0,6,33,147,3226,0,2,0,2,0,0
0.770620257,11,53,2829917.6,750,0,27,7,6,6,0
0.537509612,7,49,370423.6667,1981,0,0,0,0,0,0
0,1,3,5255256,1833,0,0,0,0,0,0
0,2,22,280380,2503,0,0,0,0,0,0
0,6,17,15568,652,0,6,3,4,2,0
0.760111169,4,30,6419084.929,537,1,22,11,15,9,0
0.609840305,6,25,1042043,1832,2,22,10,6,9,0
0,1,6,1736824,912,0,22,0,5,0,0
0.667802345,10,80,4023472,517,9,540,5,144,9,0
0,2,6,9753705,490,0,0,0,0,0,0
0.811278124,2,15,1568766,2097,0,10,0,4,0,0
0,2,6,1962308,993,0,0,0,0,0,0
0.735380337,6,19,4998573,1259,0,0,0,0,0,0
0.894342646,1,14,80580,773,0,9,0,2,0,0
0,3,14,4518636,1968,0,0,0,0,0,0
0,1,4,4328371,43,0,0,0,0,0,0
0.721928095,1,6,6950663,1561,0,5,3,1,2,0
0,1,6,1736824,912,0,22,0,5,0,0
0.961236605,1,10,1264641,2817,0,23,3,3,2,0
0.828871363,1,9,2927082,1662,4,23,10,5,6,0
0,5,27,238324,2263,1,9,4,3,4,0
0.32984607,3,15,1118752,1943,0,0,0,0,0,0
0,1,5,74102,3326,0,0,0,0,0,0
0.960229718,1,14,262182.6667,3113,0,0,0,0,0,0
0,2,4,2176017,938,2,16,6,3,3,0
0,1,8,2736476,2192,1,23,9,7,12,0
0.837681279,4,21,10402826.67,3008,1,24,8,6,5,0
0.76404317,5,23,3924680.833,388,4,15,5,6,6,0
0,2,11,141127,1144,0,0,0,0,0,0
0.667802345,10,80,4023472,517,9,540,5,144,9,0
0.770620257,11,53,2829917.6,750,0,27,7,6,6,0
0,2,17,23088294,596,0,0,0,0,0,0
0,1,4,1240934,418,3,17,5,6,7,0
0,1,9,15873836,3402,0,0,0,0,0,0
0.449617137,0,0,0,0,0,0,0,0,0,0
0,1,9,865464,336,0,0,0,0,0,0
0,1,20,3042970,1942,0,0,0,1,0,0
0,1,5,2768383,3400,0,0,0,0,0,0
1,2,14,2259278,249,0,0,0,0,0,0
0,2,19,5635728.643,2964,0,0,0,0,0,0
0,2,15,7569085,3717,0,0,0,0,0,0
0,2,6,9753705,490,0,0,0,0,0,0
0.873981048,2,7,13183208,1971,0,158,84,48,70,0
0,1,3,5255256,1833,0,0,0,0,0,0
0,2,3,36282770,3148,2,43,30,1,11,0
0.918295834,1,5,1487929,2920,0,5,2,1,2,0
0.721928095,2,7,1409518,2317,0,3,1,1,2,0
0,5,25,3239415,782,0,22,14,2,4,0
0.895640306,2,17,63923,631,0,5,3,1,2,0
0,1,5,1631518,2769,0,0,0,0,0,0
0.959147917,2,13,14648444.5,189,0,0,0,0,0,0
0,3,29,2019735,4207,0,0,0,0,0,0
0.770620257,11,53,2829917.6,750,0,27,7,6,6,0
0,1,7,5763511,345,1,24,3,5,2,0
0,2,11,3433262,962,0,0,0,0,0,0
0,2,19,5332068.5,2876,0,0,0,0,0,0
0,2,21,2112243,2899,1,5,2,1,2,0
0,2,16,267778,2703,0,41,26,7,13,0
0.958936193,8,25,2695,4121,0,0,0,0,0,0
0.867085747,5,10,1561534.722,3342,0,0,0,0,0,0
0.913866494,13,101,1378943,2589,0,15,5,3,3,0
0.473572925,2,12,20910519,587,0,13,2,5,2,0
1,5,25,6173704.333,734,0,0,0,0,0,0
0,5,16,5084461,507,0,20,0,14,0,0
0,2,3,6060378,1030,0,5,2,1,2,0
0.886155577,3,16,1948097,982,0,0,0,0,0,0
0,2,11,3433262,962,0,0,0,0,0,0
0.639154903,3,8,92598,663,0,49,12,3,1,0
0,10,25,12874319,461,0,0,0,0,0,0
0.970950594,2,5,33901309.5,840,0,0,0,0,0,0
0.591672779,3,19,28085487,534,0,0,0,0,0,0
0,1,4,1278706,3295,0,0,0,0,0,0
0.543564443,2,10,865046,1128,1,25,6,14,14,0
0,1,10,7784064,2874,0,1,1,0,0,0
0.353359335,1,10,4305201,567,0,0,0,0,0,0
0.837681279,4,21,10402826.67,3008,1,24,8,6,5,0
0.897718479,7,35,773815,2142,0,7,4,1,3,0
0,2,11,70340,1228,0,2,1,0,0,0
0.931405915,6,48,3261426.857,2659,0,0,0,0,0,0
0.811278124,2,10,2632441,6069,0,20,2,7,1,0
0.543564443,2,10,865046,1128,1,25,6,14,14,0
0.735380337,6,19,4998573,1259,0,0,0,0,0,0
0,2,4,7925870,3339,1,3,1,1,1,0
0,2,9,614,1331,0,10,4,1,4,0
0.543564443,2,10,865046,1128,1,25,6,14,14,0
0,2,16,627411,857,0,0,0,0,0,0
0,3,8,285297,1408,0,0,0,0,0,0
0,3,9,16079863,72,0,0,0,0,0,0
0.825011211,3,18,18365074.75,3181,0,0,0,0,0,0
0,2,11,3433262,962,0,0,0,0,0,0
0,2,19,5332068.5,2876,0,0,0,0,0,0
0,2,9,6428909,609,1,52,5,14,4,0
0.993886686,9,53,621316.75,1452,0,0,0,0,0,0
0.952920113,1,14,1511377.217,2118,0,0,0,0,0,0
0.713158604,6,33,1500944.333,2982,0,3,1,6,2,0
0,1,3,4518133,3963,1,10,5,2,4,0
0,2,9,9158345,626,0,0,0,0,0,0
0.249882293,1,5,145917,1365,0,0,0,0,0,0
0.811278124,1,22,0,1171,0,2,0,1,1,0
1,1,6,1469264,3145,0,7,2,3,3,0
0,1,5,174145,135,0,4,3,0,1,0
0.87147058,3,21,351483.7143,3194,0,21,4,5,2,0
0,1,5,22041569,1195,0,0,0,0,0,0
0,2,5,2946849,889,0,0,0,0,0,0
0,2,8,14322798,3151,0,0,0,0,0,0
0,5,17,7026982,2176,0,0,0,0,0,0
0.685220383,3,16,73219,3658,0,15,2,2,1,0
0,7,31,185648,1169,0,0,0,0,0,0
0,2,14,4283683,1209,0,9,2,1,1,0
0,6,17,15568,652,0,6,3,4,2,0
0,1,3,2179755,711,1,3,1,1,1,0
0.918295834,2,13,26625,604,0,0,0,0,0,0
0,2,18,8059,2784,0,8,4,1,2,0
0,1,3,59666,402,0,5,2,1,2,0
0,1,7,2246156,3121,0,2,1,0,0,0
0,2,4,539886,1732,0,2,0,1,1,0
0,2,9,6428909,609,1,52,5,14,4,0
0.905928216,2,6,1550477,1020,0,13,6,8,5,0
0.685220383,3,16,73219,3658,0,15,2,2,1,0
0,4,29,0,2860,0,0,0,0,0,0
0,2,8,2591770,2494,0,0,0,0,0,0
0,2,22,30396586,548,0,0,0,0,0,0
0.895640306,2,17,63923,631,0,5,3,1,2,0
0,4,21,94642,8824,0,0,0,0,0,0
0,4,12,181861,426,0,10,4,2,4,0
0,2,6,353,4383,0,3,0,1,0,0
0,3,29,2019735,4207,0,0,0,0,0,0
0.949634705,3,15,2568102.083,3987,0,0,0,0,0,0
0,2,8,2954583,885,0,0,0,0,0,0
0,1,29,684723,3403,0,15,8,5,6,0
0.543564443,2,24,12684,592,0,0,0,0,0,0
0,1,18,7820726,2794,0,14,0,8,0,0
0,7,31,185648,1169,0,0,0,0,0,0
0.905928216,2,6,1550477,1020,0,13,6,8,5,0
