contains_bug,add_density,add_num_nodes,add_num_edges,add_max_degree,add_sum_degree,del_density,del_num_nodes,del_num_edges,del_max_degree,del_sum_degree
True,0.17,6,5,5,10,0.17,6,5,5,10
True,0.14,7,6,6,12,0.14,7,6,6,12
True,0.18,8,10,6,20,0.18,8,10,6,20
True,0.06,27,44,13,88,0.07,23,36,11,72
True,0.06,27,44,18,88,0.06,27,43,18,86
True,0.13,13,21,12,42,0.13,13,20,12,40
True,0.06,42,97,22,194,0.06,38,78,19,156
True,0.09,18,27,10,54,0.14,12,18,10,36
True,0.07,25,40,15,80,0.08,21,33,14,66
True,0.11,15,23,14,46,0.11,15,23,14,46
True,0.06,34,65,15,130,0.08,22,35,13,70
True,0.08,22,36,16,72,0.08,22,36,16,72
True,0.05,40,82,17,164,0.06,28,45,14,90
True,0.06,37,84,18,168,0.07,30,63,16,126
True,0.11,15,23,14,46,0.11,15,23,14,46
True,0.1,14,19,10,38,0.1,14,19,10,38
True,0.12,14,22,13,44,0.07,22,34,14,68
True,0.05,36,68,17,136,0.06,32,60,17,120
True,0.07,24,40,13,80,0.08,23,38,12,76
True,0.06,33,64,17,128,0.06,31,58,16,116
True,0.05,45,102,22,204,0.05,44,100,21,200
True,0.05,36,64,14,128,0.14,10,13,8,26
True,0.11,13,17,9,34,0.11,13,17,9,34
True,0.06,27,43,14,86,0.06,26,42,14,84
True,0.06,32,60,16,120,0.06,28,47,15,94
True,0.08,22,38,14,76,0.08,22,38,14,76
True,0.1,15,22,11,44,0.1,15,21,11,42
True,0.05,44,97,19,194,0.13,12,17,8,34
True,0.08,24,44,13,88,0.08,24,44,13,88
True,0.07,25,41,13,82,0.08,21,33,12,66
True,0.07,31,63,18,126,0.07,30,60,17,120
True,0.05,35,64,16,128,0.06,32,56,14,112
True,0.06,29,52,15,104,0.06,30,52,15,104
True,0.11,14,20,12,40,0.1,14,18,11,36
True,0.06,26,40,13,80,0.06,26,40,13,80
True,0.1,16,25,11,50,0.1,16,25,11,50
True,0.12,12,16,9,32,0.12,12,16,9,32
True,0.08,29,62,17,124,0.08,25,47,15,94
True,0.14,9,10,6,20,0.14,9,10,6,20
True,0.07,27,46,13,92,0.08,21,33,11,66
True,0.06,33,64,15,128,0.06,31,59,14,118
True,0.05,38,67,15,134,0.09,14,17,9,34
True,0.12,12,16,9,32,0.12,12,16,9,32
True,0.07,29,53,14,106,0.07,29,53,14,106
True,0.13,13,20,11,40,0.14,13,22,11,44
True,0.11,11,12,6,24,0.11,11,12,6,24
True,0.06,29,48,14,96,0.14,8,8,6,16
True,0.05,41,90,18,180,0.1,14,19,10,38
True,0.06,28,48,17,96,0.06,26,42,17,84
True,0.12,13,18,12,36,0.12,12,16,11,32
True,0.12,12,16,9,32,0.12,12,16,9,32
True,0.07,26,44,16,88,0.08,23,39,15,78
True,0.07,39,98,28,196,0.06,42,100,22,200
True,0.05,31,51,12,102,0.09,15,19,8,38
True,0.13,13,20,12,40,0.13,13,20,12,40
True,0.06,34,64,17,128,0.06,32,59,17,118
True,0.06,38,84,17,168,0.06,35,73,15,146
True,0.12,14,22,11,44,0.13,12,17,11,34
True,0.07,29,55,16,110,0.07,29,54,16,108
True,0.06,37,82,17,164,0.09,21,39,13,78
True,0.05,43,92,18,184,0.05,38,77,16,154
True,0.07,23,33,12,66,0.06,24,35,12,70
True,0.06,39,85,18,170,0.06,35,71,17,142
True,0.07,26,44,15,88,0.06,26,41,15,82
True,0.08,20,32,13,64,0.08,20,32,13,64
True,0.06,36,71,17,142,0.08,22,35,13,70
True,0.06,24,35,12,70,0.06,24,35,12,70
True,0.07,34,79,17,158,0.07,33,71,17,142
True,0.06,29,50,15,100,0.06,29,52,15,104
True,0.06,31,53,14,106,0.08,20,29,11,58
True,0.13,13,20,12,40,0.13,13,20,12,40
True,0.13,14,23,12,46,0.13,14,23,12,46
True,0.06,38,79,18,158,0.11,15,23,12,46
True,0.05,37,72,17,144,0.06,31,53,16,106
True,0.17,6,5,5,10,0.17,6,5,5,10
True,0.07,28,51,16,102,0.09,19,32,12,64
True,0.07,28,54,17,108,0.07,28,54,17,108
True,0.09,19,30,15,60,0.09,19,31,15,62
True,0.06,30,48,13,96,0.06,32,56,14,112
True,0.06,28,44,18,88,0.06,28,47,18,94
True,0.17,6,5,5,10,0.12,11,13,10,26
True,0.06,40,86,20,172,0.07,29,57,15,114
True,0.06,33,63,15,126,0.06,33,60,14,120
True,0.06,36,72,17,144,0.06,31,54,14,108
True,0.07,29,53,15,106,0.12,13,19,11,38
True,0.06,30,55,16,110,0.09,14,17,11,34
True,0.08,20,32,12,64,0.09,18,27,12,54
True,0.08,31,74,24,148,0.08,29,66,21,132
True,0.08,23,39,14,78,0.08,23,39,14,78
True,0.06,35,73,17,146,0.08,25,48,14,96
True,0.06,32,57,14,114,0.06,31,55,14,110
True,0.05,44,100,18,200,0.05,45,104,21,208
True,0.06,40,99,20,198,0.07,29,57,15,114
True,0.11,13,17,9,34,0.11,13,17,9,34
True,0.06,31,56,15,112,0.07,23,35,13,70
True,0.06,28,48,16,96,0.08,23,38,14,76
True,0.06,31,52,16,104,0.07,23,35,13,70
True,0.06,30,54,15,108,0.06,26,42,13,84
True,0.06,26,41,12,82,0.06,23,32,10,64
True,0.05,39,81,18,162,0.06,31,53,14,106
True,0.07,32,66,16,132,0.06,30,52,15,104
True,0.08,24,42,15,84,0.1,16,24,13,48
True,0.1,15,22,11,44,0.1,15,21,11,42
True,0.11,14,20,12,40,0.1,14,19,12,38
True,0.1,13,16,9,32,0.1,13,16,9,32
True,0.06,33,59,14,118,0.05,31,48,13,96
True,0.06,30,52,13,104,0.1,14,19,8,38
True,0.06,35,72,16,144,0.08,26,50,14,100
True,0.09,21,36,17,72,0.1,18,30,14,60
True,0.06,36,74,17,148,0.07,31,62,14,124
True,0.09,19,30,12,60,0.08,17,23,12,46
True,0.07,28,50,14,100,0.08,28,57,15,114
True,0.06,31,55,16,110,0.07,28,50,14,100
True,0.06,37,74,19,148,0.05,38,69,18,138
True,0.06,43,112,27,224,0.06,41,101,22,202
True,0.06,27,44,12,88,0.11,13,17,9,34
True,0.05,33,55,14,110,0.06,29,46,13,92
True,0.06,41,97,22,194,0.06,38,87,20,174
True,0.06,32,61,16,122,0.06,32,63,16,126
True,0.06,36,71,17,142,0.07,29,56,15,112
True,0.06,31,59,18,118,0.06,31,56,16,112
True,0.06,38,82,16,164,0.06,36,76,19,152
True,0.06,25,38,14,76,0.06,28,43,15,86
True,0.07,23,34,12,68,0.07,23,34,12,68
True,0.08,21,33,14,66,0.07,24,38,15,76
True,0.07,22,33,12,66,0.08,20,29,12,58
True,0.06,29,52,16,104,0.06,29,52,16,104
True,0.05,38,76,17,152,0.06,40,86,17,172
True,0.07,29,56,16,112,0.07,33,69,17,138
True,0.05,49,124,26,248,0.05,48,117,25,234
True,0.1,13,16,9,32,0.1,13,16,9,32
True,0.07,29,53,17,106,0.07,29,53,17,106
True,0.05,37,73,18,146,0.05,37,73,18,146
True,0.06,30,56,18,112,0.14,10,13,8,26
True,0.06,32,59,16,118,0.06,31,55,17,110
True,0.06,45,119,28,238,0.06,45,116,28,232
True,0.06,44,113,27,226,0.06,41,101,24,202
True,0.06,39,92,21,184,0.06,38,89,19,178
True,0.06,41,100,21,200,0.06,41,100,21,200
True,0.08,29,66,20,132,0.07,30,64,17,128
True,0.06,36,73,17,146,0.06,30,54,16,108
True,0.05,39,76,17,152,0.08,22,36,13,72
True,0.06,27,45,13,90,0.08,19,26,11,52
True,0.05,36,67,14,134,0.14,10,13,8,26
True,0.05,38,74,21,148,0.05,37,65,19,130
True,0.06,47,120,27,240,0.05,44,101,21,202
True,0.07,27,51,13,102,0.11,18,33,12,66
True,0.06,31,54,16,108,0.06,29,51,15,102
True,0.07,38,95,23,190,0.07,32,66,17,132
True,0.06,45,113,25,226,0.06,42,98,21,196
True,0.06,26,39,12,78,0.08,17,23,12,46
True,0.06,33,65,18,130,0.06,33,64,18,128
True,0.06,38,79,18,158,0.06,33,68,19,136
True,0.07,32,65,19,130,0.07,27,51,14,102
True,0.08,21,32,15,64,0.07,21,31,15,62
True,0.08,21,33,12,66,0.12,14,21,11,42
True,0.06,46,116,25,232,0.07,31,61,15,122
True,0.17,6,5,5,10,0.17,6,5,5,10
True,0.08,21,32,12,64,0.08,21,32,12,64
True,0.05,33,55,14,110,0.14,10,13,8,26
True,0.08,22,36,16,72,0.08,22,36,16,72
True,0.08,19,28,13,56,0.07,24,38,15,76
True,0.07,28,51,16,102,0.08,22,35,13,70
True,0.06,27,44,12,88,0.14,10,13,8,26
True,0.06,42,99,20,198,0.07,27,48,14,96
True,0.07,24,39,12,78,0.07,21,31,12,62
True,0.07,29,55,17,110,0.08,26,49,17,98
True,0.06,41,94,23,188,0.06,36,78,19,156
True,0.08,20,31,16,62,0.1,17,26,13,52
True,0.06,29,47,12,94,0.14,10,13,8,26
True,0.05,40,78,16,156,0.14,10,13,8,26
True,0.08,19,28,9,56,0.1,16,24,9,48
True,0.07,32,69,17,138,0.08,28,57,17,114
True,0.07,29,54,17,108,0.14,10,13,8,26
True,0.1,18,31,12,62,0.1,18,31,12,62
True,0.06,36,74,17,148,0.07,30,60,15,120
True,0.06,35,66,15,132,0.05,35,65,14,130
True,0.06,32,56,15,112,0.09,19,31,12,62
True,0.06,41,99,21,198,0.07,38,94,20,188
True,0.06,36,72,16,144,0.07,26,45,13,90
True,0.06,39,88,18,176,0.06,39,90,21,180
True,0.06,32,59,15,118,0.06,32,59,16,118
True,0.08,32,78,20,156,0.08,32,78,20,156
True,0.1,16,23,8,46,0.1,16,23,8,46
True,0.05,51,138,33,276,0.05,50,127,32,254
True,0.05,38,77,16,154,0.06,32,60,15,120
True,0.09,19,31,14,62,0.1,17,26,14,52
True,0.07,30,57,16,114,0.06,31,58,13,116
True,0.07,24,39,13,78,0.09,20,34,13,68
True,0.06,35,74,16,148,0.07,30,60,16,120
True,0.06,35,73,17,146,0.07,29,53,16,106
True,0.09,19,31,13,62,0.1,14,19,12,38
True,0.07,30,58,15,116,0.1,16,24,12,48
True,0.07,30,58,15,116,0.08,24,42,12,84
True,0.06,39,88,21,176,0.06,38,87,21,174
True,0.06,28,48,15,96,0.07,24,38,14,76
True,0.08,27,54,15,108,0.07,26,48,14,96
True,0.07,32,65,17,130,0.07,31,61,16,122
True,0.06,33,59,13,118,0.05,28,41,10,82
True,0.12,14,22,12,44,0.12,14,21,12,42
True,0.07,30,57,16,114,0.06,30,56,16,112
True,0.05,33,57,15,114,0.06,27,44,13,88
True,0.07,21,29,11,58,0.09,14,17,10,34
True,0.07,33,70,18,140,0.07,33,70,18,140
True,0.09,18,27,12,54,0.09,18,27,12,54
True,0.06,29,50,16,100,0.07,23,34,16,68
True,0.06,28,43,17,86,0.07,24,37,16,74
True,0.14,11,15,6,30,0.14,11,15,6,30
True,0.06,44,108,26,216,0.06,38,79,20,158
True,0.06,43,102,21,204,0.06,43,106,22,212
True,0.07,24,40,13,80,0.12,13,19,11,38
True,0.06,39,93,26,186,0.05,40,85,18,170
True,0.07,31,67,17,134,0.08,30,66,17,132
True,0.06,42,107,20,214,0.06,39,87,20,174
True,0.05,50,126,25,252,0.06,38,89,19,178
True,0.05,47,111,22,222,0.14,10,13,8,26
True,0.14,12,18,9,36,0.14,12,18,9,36
True,0.17,6,5,5,10,0.17,6,5,5,10
True,0.06,28,47,15,94,0.06,27,45,15,90
True,0.07,25,43,15,86,0.07,25,43,15,86
True,0.07,25,41,12,82,0.07,18,22,11,44
True,0.06,33,67,15,134,0.06,30,50,14,100
True,0.11,14,20,13,40,0.11,14,20,13,40
True,0.08,20,29,12,58,0.07,20,28,12,56
True,0.08,20,31,15,62,0.08,20,31,15,62
True,0.06,26,41,16,82,0.1,15,21,11,42
True,0.12,12,16,9,32,0.12,12,16,9,32
True,0.09,20,36,13,72,0.09,20,36,13,72
True,0.07,27,47,15,94,0.07,27,49,15,98
True,0.07,23,37,12,74,0.08,19,28,12,56
True,0.06,39,96,25,192,0.06,39,96,24,192
True,0.09,19,30,14,60,0.12,14,22,13,44
True,0.06,27,45,15,90,0.07,27,47,16,94
True,0.1,21,40,13,80,0.1,16,25,11,50
True,0.17,6,5,5,10,0.17,6,5,5,10
True,0.09,20,35,13,70,0.1,20,38,13,76
True,0.06,33,67,16,134,0.08,24,43,14,86
True,0.05,35,60,16,120,0.05,34,58,15,116
True,0.06,31,56,15,112,0.06,31,56,15,112
True,0.08,16,19,11,38,0.08,16,19,11,38
True,0.08,16,20,9,40,0.08,16,20,9,40
True,0.06,33,59,14,118,0.1,15,20,12,40
True,0.06,24,35,15,70,0.09,15,19,12,38
True,0.05,32,52,11,104,0.1,14,19,8,38
True,0.08,27,57,17,114,0.1,21,43,14,86
True,0.07,24,39,12,78,0.08,21,32,12,64
True,0.07,26,48,16,96,0.08,24,45,17,90
True,0.06,29,48,16,96,0.08,19,26,14,52
True,0.23,6,7,5,14,0.23,6,7,5,14
True,0.06,43,109,27,218,0.06,43,108,27,216
True,0.06,30,49,14,98,0.06,30,48,14,96
True,0.05,45,99,21,198,0.05,43,96,24,192
True,0.1,15,22,12,44,0.1,15,22,12,44
True,0.07,22,33,13,66,0.07,22,33,13,66
True,0.07,29,57,15,114,0.07,29,54,15,108
True,0.07,28,51,15,102,0.07,28,50,15,100
True,0.07,26,46,11,92,0.1,18,30,10,60
True,0.06,30,54,16,108,0.08,23,38,15,76
True,0.08,22,37,15,74,0.08,22,37,15,74
True,0.06,29,50,16,100,0.07,27,49,17,98
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.11,15,23,12,46,0.12,14,21,12,42
False,0.06,24,35,11,70,0.06,25,36,12,72
False,0.08,18,24,9,48,0.08,18,24,9,48
False,0.12,13,18,12,36,0.12,13,18,12,36
False,0.1,16,25,12,50,0.13,12,17,11,34
False,0.08,23,38,14,76,0.11,14,20,13,40
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.14,14,25,12,50,0.14,13,22,11,44
False,0.07,25,41,13,82,0.07,25,41,13,82
False,0.06,30,52,15,104,0.13,12,17,8,34
False,0.14,11,15,10,30,0.14,11,15,10,30
False,0.07,25,39,15,78,0.08,21,33,14,66
False,0.08,23,40,15,80,0.13,14,23,13,46
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.09,18,28,13,56,0.09,18,28,13,56
False,0.15,12,20,8,40,0.15,12,20,8,40
False,0.06,32,59,14,118,0.07,30,59,15,118
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.07,25,41,12,82,0.07,25,40,12,80
False,0.08,23,38,13,76,0.08,23,38,13,76
False,0.13,13,20,10,40,0.09,18,28,11,56
False,0.17,9,12,7,24,0.17,9,12,7,24
False,0.13,13,21,9,42,0.13,13,21,9,42
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.1,18,31,11,62,0.1,18,30,11,60
False,0.06,27,43,13,86,0.06,27,43,13,86
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.1,19,35,16,70,0.11,16,26,13,52
False,0.09,17,24,15,48,0.1,17,26,15,52
False,0.09,16,22,13,44,0.09,16,22,13,44
False,0.16,11,18,10,36,0.18,10,16,8,32
False,0.06,34,64,13,128,0.06,32,58,12,116
False,0.12,15,26,12,52,0.13,12,17,11,34
False,0.08,18,25,12,50,0.08,18,25,12,50
False,0.05,42,94,18,188,0.06,33,61,16,122
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.13,12,17,11,34,0.13,12,17,11,34
False,0.09,18,28,13,56,0.09,18,28,13,56
False,0.13,12,17,8,34,0.13,12,17,8,34
False,0.15,12,20,8,40,0.15,12,20,8,40
False,0.1,16,25,12,50,0.13,12,17,11,34
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.12,13,19,11,38,0.12,13,19,11,38
False,0.06,29,48,14,96,0.06,29,48,14,96
False,0.07,19,25,13,50,0.07,19,25,13,50
False,0.06,33,63,15,126,0.06,32,58,14,116
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.09,18,28,15,56,0.09,18,28,15,56
False,0.05,43,86,16,172,0.13,12,17,8,34
False,0.11,11,12,8,24,0.17,6,5,5,10
False,0.11,14,20,13,40,0.11,14,20,13,40
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.14,11,15,10,30,0.14,10,13,8,26
False,0.12,12,16,9,32,0.12,12,16,9,32
False,0.07,22,33,13,66,0.07,22,33,13,66
False,0.17,12,22,9,44,0.17,12,22,9,44
False,0.14,10,13,8,26,0.09,17,25,9,50
False,0.16,11,18,10,36,0.16,11,18,10,36
False,0.09,19,30,14,60,0.12,14,21,13,42
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.06,29,48,14,96,0.06,29,48,14,96
False,0.1,16,24,10,48,0.1,16,24,10,48
False,0.17,7,7,7,14,0.17,7,7,7,14
False,0.07,25,43,16,86,0.08,22,36,16,72
False,0.1,18,30,13,60,0.1,19,33,13,66
False,0.09,18,27,13,54,0.1,17,26,14,52
False,0.11,15,24,11,48,0.11,15,24,11,48
False,0.1,13,16,9,32,0.1,13,16,9,32
False,0.12,13,19,12,38,0.12,13,19,12,38
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.23,6,7,5,14,0.23,6,7,5,14
False,0.06,24,35,11,70,0.06,25,36,12,72
False,0.14,13,22,10,44,0.14,13,22,10,44
False,0.08,24,43,15,86,0.09,18,29,12,58
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.06,30,55,19,110,0.06,30,56,19,112
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.13,13,20,12,40,0.13,13,20,12,40
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.08,18,26,11,52,0.08,18,26,11,52
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.1,16,24,11,48,0.12,13,19,10,38
False,0.06,23,32,14,64,0.06,23,32,14,64
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.11,9,8,6,16,0.11,9,8,6,16
False,0.07,37,92,19,184,0.1,20,38,13,76
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.07,29,53,17,106,0.08,20,32,15,64
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.1,17,26,11,52,0.1,17,26,11,52
False,0.14,10,13,8,26,0.14,11,15,10,30
False,0.06,31,59,16,118,0.06,31,57,15,114
False,0.12,12,16,9,32,0.12,12,16,9,32
False,0.07,27,48,14,96,0.06,25,37,13,74
False,0.15,12,20,8,40,0.13,12,17,8,34
False,0.15,12,20,8,40,0.15,12,20,8,40
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.11,12,15,9,30,0.14,10,13,8,26
False,0.08,19,28,14,56,0.07,20,28,14,56
False,0.12,12,16,9,32,0.12,12,16,9,32
False,0.1,16,23,11,46,0.1,16,23,11,46
False,0.1,16,24,11,48,0.12,13,19,10,38
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.06,28,46,14,92,0.06,27,44,13,88
False,0.1,12,13,7,26,0.1,12,13,7,26
False,0.07,25,45,14,90,0.13,13,21,12,42
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.1,13,16,9,32,0.1,14,18,11,36
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.12,16,29,14,58,0.12,16,29,14,58
False,0.08,24,43,15,86,0.09,18,29,12,58
False,0.09,18,27,14,54,0.1,16,23,12,46
False,0.09,17,24,12,48,0.09,17,24,12,48
False,0.12,14,21,11,42,0.11,13,17,9,34
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.08,21,35,11,70,0.08,21,35,11,70
False,0.06,30,55,18,110,0.12,12,16,9,32
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.15,12,20,9,40,0.15,12,20,9,40
False,0.12,13,19,9,38,0.12,12,16,9,32
False,0.16,11,18,10,36,0.18,10,16,8,32
False,0.09,17,25,13,50,0.09,16,21,13,42
False,0.14,13,22,10,44,0.15,12,20,8,40
False,0.14,12,18,9,36,0.14,12,18,9,36
False,0.13,12,17,8,34,0.13,12,17,8,34
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.1,16,23,11,46,0.1,16,23,11,46
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.12,14,21,11,42,0.16,11,18,10,36
False,0.09,18,27,12,54,0.1,14,19,12,38
False,0.17,9,12,7,24,0.17,9,12,7,24
False,0.1,15,21,12,42,0.08,23,43,16,86
False,0.13,14,23,12,46,0.11,14,20,12,40
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.14,12,18,10,36,0.14,12,18,10,36
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.16,11,18,10,36,0.18,10,16,8,32
False,0.07,20,28,13,56,0.07,26,44,13,88
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.14,12,18,9,36,0.14,10,13,8,26
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.07,25,42,15,84,0.07,25,42,15,84
False,0.1,13,16,9,32,0.1,13,16,9,32
False,0.11,14,20,13,40,0.11,14,20,13,40
False,0.07,25,41,13,82,0.07,25,41,13,82
False,0.07,19,24,11,48,0.07,19,24,11,48
False,0.12,13,18,9,36,0.12,13,18,9,36
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.12,12,16,11,32,0.12,12,16,11,32
False,0.1,16,23,11,46,0.1,16,23,11,46
False,0.12,15,26,12,52,0.13,12,17,11,34
False,0.06,29,47,15,94,0.06,28,43,15,86
False,0.13,14,23,12,46,0.13,14,23,12,46
False,0.09,17,25,12,50,0.09,17,25,12,50
False,0.06,32,56,12,112,0.1,14,19,8,38
False,0.07,24,40,15,80,0.11,15,23,13,46
False,0.15,16,35,15,70,0.15,16,35,15,70
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.06,29,47,15,94,0.07,20,27,13,54
False,0.14,13,22,10,44,0.14,13,22,10,44
False,0.07,21,31,13,62,0.07,21,31,13,62
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.16,11,18,10,36,0.16,11,18,10,36
False,0.06,29,47,15,94,0.06,28,43,15,86
False,0.12,14,21,13,42,0.12,14,21,13,42
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.06,31,57,17,114,0.06,29,52,16,104
False,0.08,18,26,14,52,0.08,18,26,14,52
False,0.1,17,26,11,52,0.1,17,26,11,52
False,0.13,14,23,11,46,0.14,13,22,10,44
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.14,11,15,10,30,0.14,11,15,10,30
False,0.14,11,15,10,30,0.14,11,15,10,30
False,0.14,13,22,10,44,0.15,12,20,8,40
False,0.12,14,22,11,44,0.12,14,22,11,44
False,0.1,13,16,9,32,0.1,13,16,9,32
False,0.13,13,20,10,40,0.09,18,28,11,56
False,0.09,17,24,13,48,0.08,19,27,13,54
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.12,16,29,14,58,0.12,16,29,14,58
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.09,19,30,14,60,0.12,14,21,13,42
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.1,16,24,10,48,0.1,16,24,10,48
False,0.12,16,28,12,56,0.09,18,29,13,58
False,0.1,15,20,9,40,0.1,15,20,9,40
False,0.07,25,43,16,86,0.08,22,36,16,72
False,0.06,29,47,15,94,0.06,28,43,15,86
False,0.13,14,23,12,46,0.13,14,23,12,46
False,0.07,20,27,10,54,0.07,20,27,10,54
False,0.07,26,46,15,92,0.09,22,40,15,80
False,0.09,16,22,13,44,0.09,16,22,13,44
False,0.13,13,20,12,40,0.13,13,20,12,40
False,0.06,31,57,17,114,0.06,29,52,16,104
False,0.12,13,18,9,36,0.12,13,18,9,36
False,0.1,16,23,9,46,0.1,16,23,9,46
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.06,27,40,13,80,0.06,28,45,12,90
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.13,17,36,16,72,0.14,16,33,15,66
False,0.13,13,21,11,42,0.12,13,18,11,36
False,0.14,11,15,10,30,0.14,11,15,10,30
False,0.08,21,34,12,68,0.1,15,22,12,44
