contains_bug,entropy,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_max_degree
True,1.667780289,18,24,1.3333,1.3333,9,48,2,2,7
True,4.066734211,26,52,2.0,2.0,12,104,4,3,3
True,5.241807795,0,0,0.0,0.0,0,0,0,0,0
True,1.773828705,0,0,0.0,0.0,0,0,0,0,0
True,3.554243038,0,0,0.0,0.0,0,0,0,0,0
True,2.707458769,24,40,1.6667,1.6667,13,80,3,2,14
True,2.712488412,15,19,1.2667,1.2667,8,38,2,2,8
True,0.42210863,0,0,0.0,0.0,0,0,0,0,0
True,1.427129078,19,26,1.3684,1.3684,9,52,3,3,7
True,3.824795417,22,41,1.8636,1.8636,15,82,3,3,21
True,4.353407477,0,0,0.0,0.0,0,0,0,0,0
True,2.830898488,0,0,0.0,0.0,0,0,0,0,0
True,2.40643759,0,0,0.0,0.0,0,0,0,0,0
True,4.178431769,28,62,2.2143,2.2143,16,124,4,3,21
True,2.603446288,0,0,0.0,0.0,0,0,0,0,0
True,4.067913652,15,22,1.4667,1.4667,8,44,2,2,10
True,2.325314999,0,0,0.0,0.0,0,0,0,0,0
True,0.952751996,0,0,0.0,0.0,0,0,0,0,0
True,1.640223929,0,0,0.0,0.0,0,0,0,0,0
True,2.815027993,0,0,0.0,0.0,0,0,0,0,0
True,2.610691215,0,0,0.0,0.0,0,0,0,0,0
True,3.130006995,0,0,0.0,0.0,0,0,0,0,0
True,5.18499847,0,0,0.0,0.0,0,0,0,0,0
True,1.0,0,0,0.0,0.0,0,0,0,0,0
True,2.596677031,0,0,0.0,0.0,0,0,0,0,0
True,2.568025281,0,0,0.0,0.0,0,0,0,0,0
True,1.974953649,0,0,0.0,0.0,0,0,0,0,0
True,1.526337631,0,0,0.0,0.0,0,0,0,0,0
True,3.016121621,0,0,0.0,0.0,0,0,0,0,0
True,3.964118224,0,0,0.0,0.0,0,0,0,0,0
True,8.238956442,0,0,0.0,0.0,0,0,0,0,0
True,2.571233594,0,0,0.0,0.0,0,0,0,0,0
True,1.584962501,0,0,0.0,0.0,0,0,0,0,0
True,0.661617906,0,0,0.0,0.0,0,0,0,0,0
True,0.918295834,0,0,0.0,0.0,0,0,0,0,0
True,2.530639062,0,0,0.0,0.0,0,0,0,0,0
True,1.238490312,0,0,0.0,0.0,0,0,0,0,0
True,1.0,0,0,0.0,0.0,0,0,0,0,0
True,0.811278124,0,0,0.0,0.0,0,0,0,0,0
True,2.267150034,0,0,0.0,0.0,0,0,0,0,0
True,2.179573159,0,0,0.0,0.0,0,0,0,0,0
True,2.280831489,0,0,0.0,0.0,0,0,0,0,0
True,0.615765099,0,0,0.0,0.0,0,0,0,0,0
True,1.521928095,0,0,0.0,0.0,0,0,0,0,0
True,2.178470172,0,0,0.0,0.0,0,0,0,0,0
True,1.224394445,0,0,0.0,0.0,0,0,0,0,0
True,3.111553728,0,0,0.0,0.0,0,0,0,0,0
True,3.102781212,0,0,0.0,0.0,0,0,0,0,0
True,0.522559375,0,0,0.0,0.0,0,0,0,0,0
True,1.0,0,0,0.0,0.0,0,0,0,0,0
True,1.698886634,0,0,0.0,0.0,0,0,0,0,0
True,0.918295834,0,0,0.0,0.0,0,0,0,0,0
True,2.350216283,0,0,0.0,0.0,0,0,0,0,0
True,0.543564443,0,0,0.0,0.0,0,0,0,0,0
True,0.918295834,0,0,0.0,0.0,0,0,0,0,0
True,1.353742756,0,0,0.0,0.0,0,0,0,0,0
True,1.692648049,0,0,0.0,0.0,0,0,0,0,0
True,1.566536001,0,0,0.0,0.0,0,0,0,0,0
True,1.937516904,0,0,0.0,0.0,0,0,0,0,0
True,0.40217919,0,0,0.0,0.0,0,0,0,0,0
True,1.854285872,0,0,0.0,0.0,0,0,0,0,0
True,1.909547191,0,0,0.0,0.0,0,0,0,0,0
True,1.0,0,0,0.0,0.0,0,0,0,0,0
True,1.610274518,0,0,0.0,0.0,0,0,0,0,0
True,1.945731763,0,0,0.0,0.0,0,0,0,0,0
True,1.534160034,0,0,0.0,0.0,0,0,0,0,0
True,1.917550757,0,0,0.0,0.0,0,0,0,0,0
True,2.10784782,0,0,0.0,0.0,0,0,0,0,0
True,1.573017485,0,0,0.0,0.0,0,0,0,0,0
True,0.353359335,0,0,0.0,0.0,0,0,0,0,0
True,1.531620877,0,0,0.0,0.0,0,0,0,0,0
True,1.20101438,0,0,0.0,0.0,0,0,0,0,0
True,1.483219446,0,0,0.0,0.0,0,0,0,0,0
True,1.331646716,0,0,0.0,0.0,0,0,0,0,0
True,1.752715279,0,0,0.0,0.0,0,0,0,0,0
True,0.067896401,0,0,0.0,0.0,0,0,0,0,0
True,1.931374729,0,0,0.0,0.0,0,0,0,0,0
True,1.283987104,0,0,0.0,0.0,0,0,0,0,0
True,0.970950594,0,0,0.0,0.0,0,0,0,0,0
True,3.536434801,0,0,0.0,0.0,0,0,0,0,0
True,0.621246575,0,0,0.0,0.0,0,0,0,0,0
True,1.822245747,0,0,0.0,0.0,0,0,0,0,0
True,0.056678048,0,0,0.0,0.0,0,0,0,0,0
True,1.918295834,0,0,0.0,0.0,0,0,0,0,0
True,2.097290058,0,0,0.0,0.0,0,0,0,0,0
True,1.963608376,0,0,0.0,0.0,0,0,0,0,0
True,1.235168621,0,0,0.0,0.0,0,0,0,0,0
True,10.13135282,0,0,0.0,0.0,0,0,0,0,0
True,1.926502397,0,0,0.0,0.0,0,0,0,0,0
True,1.836591668,0,0,0.0,0.0,0,0,0,0,0
True,1.53748081,0,0,0.0,0.0,0,0,0,0,0
True,1.68134768,0,0,0.0,0.0,0,0,0,0,0
True,2.561971282,0,0,0.0,0.0,0,0,0,0,0
True,2.755294496,0,0,0.0,0.0,0,0,0,0,0
True,2.743220666,0,0,0.0,0.0,0,0,0,0,0
True,1.09753784,0,0,0.0,0.0,0,0,0,0,0
True,2.357554785,0,0,0.0,0.0,0,0,0,0,0
True,1.569445262,0,0,0.0,0.0,0,0,0,0,0
True,4.148912277,0,0,0.0,0.0,0,0,0,0,0
True,0.815728291,0,0,0.0,0.0,0,0,0,0,0
True,0.852405179,0,0,0.0,0.0,0,0,0,0,0
True,1.556656707,0,0,0.0,0.0,0,0,0,0,0
True,0.970950594,0,0,0.0,0.0,0,0,0,0,0
True,0.853566964,0,0,0.0,0.0,0,0,0,0,0
True,1.765992306,0,0,0.0,0.0,0,0,0,0,0
True,2.584274644,0,0,0.0,0.0,0,0,0,0,0
True,0.150579838,0,0,0.0,0.0,0,0,0,0,0
True,1.67673703,0,0,0.0,0.0,0,0,0,0,0
True,0.918295834,0,0,0.0,0.0,0,0,0,0,0
True,1.598609735,0,0,0.0,0.0,0,0,0,0,0
True,0.811278124,0,0,0.0,0.0,0,0,0,0,0
True,2.128085279,0,0,0.0,0.0,0,0,0,0,0
True,1.993242843,0,0,0.0,0.0,0,0,0,0,0
True,2.128085279,0,0,0.0,0.0,0,0,0,0,0
True,0.918295834,0,0,0.0,0.0,0,0,0,0,0
True,0.721928095,0,0,0.0,0.0,0,0,0,0,0
True,0.591672779,0,0,0.0,0.0,0,0,0,0,0
True,1.122607968,0,0,0.0,0.0,0,0,0,0,0
True,1.212661209,0,0,0.0,0.0,0,0,0,0,0
True,8.574013856,0,0,0.0,0.0,0,0,0,0,0
True,2.295018827,32,66,2.0625,2.0625,14,132,4,3,10
True,1.73159158,20,29,1.45,1.45,8,58,2,2,8
True,0.0,14,17,1.2143,1.2143,7,34,2,2,0
True,0.695733808,0,0,0.0,0.0,0,0,0,0,0
True,1.620478531,0,0,0.0,0.0,0,0,0,0,0
True,0.468995594,0,0,0.0,0.0,0,0,0,0,0
True,2.445892301,23,39,1.6957,1.6957,11,78,3,3,10
True,0.918295834,3,1,0.3333,0.3333,1,2,1,1,1
True,2.750241005,34,69,2.0294,2.0294,17,138,4,3,23
True,3.845292889,27,55,2.037,2.037,13,110,4,3,12
True,3.064005006,29,60,2.069,2.069,16,120,4,3,12
True,2.385509945,36,78,2.1667,2.1667,17,156,4,3,17
True,4.36976888,42,95,2.2619,2.2619,18,190,4,3,16
True,1.558764074,25,43,1.72,1.72,12,86,3,2,7
True,1.103307409,9,14,1.5556,1.5556,7,28,3,3,9
True,2.052887209,8,11,1.375,1.375,6,22,2,2,16
True,2.362025765,36,85,2.3611,2.3611,17,170,4,3,15
True,2.115918314,17,33,1.9412,1.9412,12,66,3,3,12
True,0.881290899,8,11,1.375,1.375,6,22,2,2,7
True,2.007909668,0,0,0.0,0.0,0,0,0,0,0
True,0.918295834,0,0,0.0,0.0,0,0,0,0,0
True,0.297472249,24,41,1.7083,1.7083,11,82,3,3,11
True,2.002981651,31,60,1.9355,1.9355,13,120,3,3,17
True,1.384376844,19,30,1.5789,1.5789,14,60,3,2,14
True,1.332642154,22,31,1.4091,1.4091,10,62,3,2,8
True,1.739454196,6,8,1.3333,1.3333,5,16,2,2,4
True,2.332963866,32,63,1.9688,1.9688,14,126,3,3,14
True,3.261732307,33,79,2.3939,2.3939,19,158,4,3,19
True,2.010534411,28,50,1.7857,1.7857,16,100,3,3,15
True,2.183829963,24,42,1.75,1.75,11,84,3,2,11
True,1.332806054,4,5,1.25,1.25,4,10,2,2,9
True,0.541327422,20,38,1.9,1.9,11,76,3,3,11
True,2.710701294,26,54,2.0769,2.0769,15,108,4,3,13
True,0.0,4,3,0.75,0.75,3,6,1,1,3
True,0.214873156,32,74,2.3125,2.3125,19,148,4,3,14
True,2.37662536,18,29,1.6111,1.6111,13,58,3,3,11
True,0.0,6,11,1.8333,1.8333,7,22,3,3,5
True,1.019444602,17,33,1.9412,1.9412,14,66,3,3,11
True,0.721928095,0,0,0.0,0.0,0,0,0,0,0
True,2.609793293,40,95,2.375,2.375,21,190,4,3,10
True,0.211746177,25,41,1.64,1.64,10,82,3,2,9
True,1.8102081,40,101,2.525,2.525,21,202,5,4,18
True,0.0,0,0,0.0,0.0,0,0,0,0,0
True,3.123886002,0,0,0.0,0.0,0,0,0,0,0
True,1.428418212,31,63,2.0323,2.0323,15,126,4,3,12
True,0.250879691,15,21,1.4,1.4,10,42,3,2,9
True,0.0,22,34,1.5455,1.5455,8,68,3,2,8
True,2.609873075,31,60,1.9355,1.9355,12,120,3,3,11
True,3.282678141,11,14,1.2727,1.2727,6,28,2,2,6
True,0.222284831,25,43,1.72,1.72,13,86,3,2,8
True,2.463471954,17,29,1.7059,1.7059,10,58,3,3,10
True,1.866420861,0,0,0.0,0.0,0,0,0,0,0
True,2.322770748,27,50,1.8519,1.8519,14,100,3,3,12
True,0.139232999,27,47,1.7407,1.7407,10,94,3,2,10
True,1.142296737,0,0,0.0,0.0,0,0,0,0,0
True,0.0,20,37,1.85,1.85,11,74,3,3,9
True,3.177074742,24,37,1.5417,1.5417,10,74,3,2,19
True,0.0,25,42,1.68,1.68,10,84,3,3,11
True,0.14257333,27,55,2.037,2.037,13,110,4,3,12
True,1.156676652,0,0,0.0,0.0,0,0,0,0,0
True,2.641667721,21,40,1.9048,1.9048,10,80,3,3,10
True,1.566071157,0,0,0.0,0.0,0,0,0,0,0
True,1.653629671,33,68,2.0606,2.0606,15,136,4,3,10
True,1.418062739,12,17,1.4167,1.4167,7,34,2,2,4
True,2.821920892,16,28,1.75,1.75,9,56,3,3,12
True,2.523333091,36,80,2.2222,2.2222,17,160,4,3,19
True,2.107216922,28,53,1.8929,1.8929,12,106,3,3,13
True,2.351251281,19,33,1.7368,1.7368,10,66,3,3,10
True,0.970950594,17,24,1.4118,1.4118,9,48,2,2,4
True,0.811278124,16,23,1.4375,1.4375,8,46,2,2,9
True,2.938786539,35,88,2.5143,2.5143,19,176,5,4,17
True,1.995705626,27,56,2.0741,2.0741,13,112,4,3,11
True,1.215028404,22,42,1.9091,1.9091,11,84,3,3,13
True,1.152930159,30,56,1.8667,1.8667,15,112,3,3,9
True,2.462667743,21,30,1.4286,1.4286,10,60,3,3,11
True,1.725576544,23,40,1.7391,1.7391,10,80,3,2,9
True,2.213850454,32,64,2.0,2.0,15,128,4,3,12
True,3.52338872,22,35,1.5909,1.5909,12,70,3,2,9
True,1.668615548,33,65,1.9697,1.9697,14,130,4,3,12
True,1.468519207,33,63,1.9091,1.9091,14,126,3,2,12
True,3.452860883,23,43,1.8696,1.8696,13,86,3,3,9
True,2.436807261,6,6,1.0,1.0,4,12,2,2,14
True,0.309543429,20,33,1.65,1.65,10,66,3,3,6
True,2.638686074,28,54,1.9286,1.9286,15,108,4,3,14
True,3.619464017,16,28,1.75,1.75,11,56,3,2,11
True,2.583554479,37,91,2.4595,2.4595,19,182,4,4,19
True,0.0,4,3,0.75,0.75,2,6,1,1,2
True,2.124802809,19,28,1.4737,1.4737,12,56,2,2,11
True,4.067324123,37,84,2.2703,2.2703,18,168,4,4,18
True,5.584787386,14,22,1.5714,1.5714,8,44,3,2,8
True,3.136123987,26,49,1.8846,1.8846,14,98,3,2,16
True,6.766114952,0,0,0.0,0.0,0,0,0,0,0
False,7.880160016,0,0,0.0,0.0,0,0,0,0,10
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,1.263544241,0,0,0.0,0.0,0,0,0,0,0
False,0.591672779,0,0,0.0,0.0,0,0,0,0,0
False,0.772369358,0,0,0.0,0.0,0,0,0,0,0
False,1.889246429,8,9,1.125,1.125,4,18,2,2,5
False,0.407155916,0,0,0.0,0.0,0,0,0,0,0
False,0.845350937,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,1.292755874,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,1.244536621,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.863120569,0,0,0.0,0.0,0,0,0,0,0
False,0.688765039,0,0,0.0,0.0,0,0,0,0,0
False,2.96938942,4,4,1.0,1.0,5,8,2,1,5
False,0.174371453,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.353359335,0,0,0.0,0.0,0,0,0,0,0
False,0.076424293,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,4.160794103,0,0,0.0,0.0,0,0,0,0,0
False,1.240670532,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.721928095,0,0,0.0,0.0,0,0,0,0,0
False,0.811700993,0,0,0.0,0.0,0,0,0,0,0
False,0.954434003,0,0,0.0,0.0,0,0,0,0,0
False,2.328972389,0,0,0.0,0.0,0,0,0,0,0
False,1.867796019,23,32,1.3913,1.3913,9,64,2,2,8
False,0.097940583,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,3.139914749,0,0,0.0,0.0,0,0,0,0,0
False,0.0,12,17,1.4167,1.4167,8,34,2,2,0
False,0.881290899,24,36,1.5,1.5,11,72,3,2,8
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,1.662325085,0,0,0.0,0.0,0,0,0,0,0
False,1.248268258,0,0,0.0,0.0,0,0,0,0,0
False,1.943626623,20,33,1.65,1.65,10,66,3,2,7
False,2.823927089,22,46,2.0909,2.0909,13,92,4,4,12
False,0.432543089,22,39,1.7727,1.7727,10,78,3,3,9
False,0.764204507,0,0,0.0,0.0,0,0,0,0,0
False,2.035878656,24,44,1.8333,1.8333,12,88,3,3,9
False,0.174371453,0,0,0.0,0.0,0,0,0,0,0
False,0.684038436,0,0,0.0,0.0,0,0,0,0,0
False,1.948873343,0,0,0.0,0.0,0,0,0,0,0
False,0.407155916,0,0,0.0,0.0,0,0,0,0,0
False,5.322215816,0,0,0.0,0.0,0,0,0,0,0
False,0.127418512,0,0,0.0,0.0,0,0,0,0,0
False,1.160887129,0,0,0.0,0.0,0,0,0,0,0
False,0.992976887,0,0,0.0,0.0,0,0,0,0,0
False,0.672686467,0,0,0.0,0.0,0,0,0,0,0
False,1.739954647,12,17,1.4167,1.4167,7,34,2,2,7
False,0.591672779,0,0,0.0,0.0,0,0,0,0,0
False,0.764204507,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,1.995955646,0,0,0.0,0.0,0,0,0,0,0
False,1.241946032,0,0,0.0,0.0,0,0,0,0,0
False,1.504143261,0,0,0.0,0.0,0,0,0,0,0
False,1.156779649,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.0,12,15,1.25,1.25,7,30,2,2,0
False,5.802931294,0,0,0.0,0.0,0,0,0,0,25
False,1.557923942,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,1.160887129,0,0,0.0,0.0,0,0,0,0,0
False,1.594372224,0,0,0.0,0.0,0,0,0,0,0
False,0.353359335,0,0,0.0,0.0,0,0,0,0,0
False,0.579265456,27,47,1.7407,1.7407,10,94,3,3,10
False,1.295836389,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,2.350494737,16,33,2.0625,2.0625,11,66,4,3,10
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.095970403,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.811278124,0,0,0.0,0.0,0,0,0,0,0
False,1.263544241,0,0,0.0,0.0,0,0,0,0,0
False,0.811278124,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,1.019365558,0,0,0.0,0.0,0,0,0,0,0
False,2.426030682,29,51,1.7586,1.7586,12,102,3,2,13
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,1.622196665,0,0,0.0,0.0,0,0,0,0,0
False,5.182323308,0,0,0.0,0.0,0,0,0,0,0
False,0.985228136,0,0,0.0,0.0,0,0,0,0,0
False,0.543564443,0,0,0.0,0.0,0,0,0,0,0
False,1.515039985,0,0,0.0,0.0,0,0,0,0,0
False,1.0,3,3,1.0,1.0,4,6,2,1,4
False,2.83224889,0,0,0.0,0.0,0,0,0,0,0
False,1.415702306,0,0,0.0,0.0,0,0,0,0,0
False,2.651076756,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.076424293,0,0,0.0,0.0,0,0,0,0,0
False,1.542595446,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,12
False,0.816416421,0,0,0.0,0.0,0,0,0,0,0
False,2.518042309,0,0,0.0,0.0,0,0,0,0,0
False,0.970950594,0,0,0.0,0.0,0,0,0,0,0
False,0.0,11,12,1.0909,1.0909,4,24,2,2,4
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,2.29248125,0,0,0.0,0.0,0,0,0,0,0
False,0.985228136,18,29,1.6111,1.6111,9,58,3,3,9
False,0.672294817,0,0,0.0,0.0,0,0,0,0,0
False,1.5,0,0,0.0,0.0,0,0,0,0,0
False,0.104982571,0,0,0.0,0.0,0,0,0,0,0
False,0.286396957,0,0,0.0,0.0,0,0,0,0,0
False,1.435520504,0,0,0.0,0.0,0,0,0,0,0
False,1.0,3,3,1.0,1.0,4,6,2,1,4
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.721928095,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,2.084798539,30,61,2.0333,2.0333,13,122,4,3,12
False,7.124187444,0,0,0.0,0.0,0,0,0,0,0
False,0.951994082,16,23,1.4375,1.4375,7,46,2,3,9
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.778694295,0,0,0.0,0.0,0,0,0,0,0
False,1.366651818,33,66,2.0,2.0,17,132,4,3,14
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.439496987,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.0,10,11,1.1,1.1,4,22,2,2,3
False,2.677437632,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.951994082,16,23,1.4375,1.4375,7,46,2,3,9
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,2.777292585,0,0,0.0,0.0,0,0,0,0,0
False,1.710509319,0,0,0.0,0.0,0,0,0,0,0
False,1.415702306,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,1.584962501,0,0,0.0,0.0,0,0,0,0,0
False,0.899743759,0,0,0.0,0.0,0,0,0,0,0
False,0.998149896,0,0,0.0,0.0,0,0,0,0,0
False,0.568959145,0,0,0.0,0.0,0,0,0,0,0
False,0.904381458,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.684038436,0,0,0.0,0.0,0,0,0,0,0
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
False,1.435520504,0,0,0.0,0.0,0,0,0,0,0
False,0.947581567,12,17,1.4167,1.4167,7,34,2,2,9
False,2.582742315,0,0,0.0,0.0,0,0,0,0,0
False,0.153516748,8,10,1.25,1.25,5,20,2,2,7
False,2.170950594,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.483730046,0,0,0.0,0.0,0,0,0,0,0
False,2.243870882,0,0,0.0,0.0,0,0,0,0,7
False,3.057030819,0,0,0.0,0.0,0,0,0,0,0
False,0.881290899,24,36,1.5,1.5,11,72,3,2,8
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,1.0,0,0,0.0,0.0,0,0,0,0,0
False,0.447834894,35,64,1.8286,1.8286,14,128,3,3,6
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,0.978449329,0,0,0.0,0.0,0,0,0,0,0
False,0.0,0,0,0.0,0.0,0,0,0,0,0
False,1.995955646,0,0,0.0,0.0,0,0,0,0,0
False,0.918295834,0,0,0.0,0.0,0,0,0,0,0
