contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_edges,del_sum_degree,la
False,52,122,2.3462,2.3462,24,244,4.88,23,46,1997
False,43,113,2.6279,2.6279,28,226,5.38,105,210,213
False,16,26,1.625,1.625,12,52,3.47,26,52,17
False,40,82,2.05,2.05,17,164,4.21,17,34,474
False,12,20,1.6667,1.6667,10,40,3.64,20,40,9
False,16,24,1.5,1.5,9,48,3.2,16,32,75
False,11,18,1.6364,1.6364,8,36,3.6,18,36,100
False,22,35,1.5909,1.5909,15,70,3.33,33,66,5
False,30,55,1.8333,1.8333,16,110,3.79,32,64,50
False,26,49,1.8846,1.8846,17,98,3.92,47,94,17
False,34,66,1.9412,1.9412,16,132,4.0,34,68,102
False,12,20,1.6667,1.6667,9,40,3.64,20,40,11
False,14,23,1.6429,1.6429,11,46,3.54,18,36,21
False,15,27,1.8,1.8,12,54,3.86,21,42,379
False,17,34,2.0,2.0,12,68,4.25,29,58,76
False,42,101,2.4048,2.4048,23,202,4.93,99,198,150
False,24,48,2.0,2.0,17,96,4.17,30,60,176
False,14,22,1.5714,1.5714,12,44,3.38,22,44,1
False,43,113,2.6279,2.6279,28,226,5.38,105,210,213
False,22,41,1.8636,1.8636,14,82,3.9,41,82,6
False,22,41,1.8636,1.8636,16,82,3.9,40,80,1
False,35,65,1.8571,1.8571,17,130,3.82,65,130,18
False,18,30,1.6667,1.6667,14,60,3.53,30,60,3
False,10,13,1.3,1.3,8,26,2.89,13,26,4
False,19,31,1.6316,1.6316,13,62,3.44,31,62,1
False,18,31,1.7222,1.7222,14,62,3.65,32,64,3
False,11,17,1.5455,1.5455,8,34,3.4,17,34,1
False,24,41,1.7083,1.7083,15,82,3.57,40,80,11
False,17,28,1.6471,1.6471,12,56,3.5,28,56,6
False,30,57,1.9,1.9,14,114,3.93,57,114,52
False,30,70,2.3333,2.3333,16,140,4.83,66,132,503
False,20,36,1.8,1.8,12,72,3.79,36,72,5
False,29,58,2.0,2.0,16,116,4.14,57,114,20
False,39,89,2.2821,2.2821,20,178,4.81,52,104,289
False,19,36,1.8947,1.8947,12,72,4.24,42,84,590
False,31,59,1.9032,1.9032,17,118,3.93,49,98,60
False,11,17,1.5455,1.5455,8,34,3.4,17,34,1
False,38,92,2.4211,2.4211,20,184,4.97,84,168,509
False,18,28,1.5556,1.5556,13,56,3.29,31,62,7
False,35,73,2.0857,2.0857,15,146,4.29,76,152,70
False,18,32,1.7778,1.7778,12,64,3.76,32,64,11
False,17,29,1.7059,1.7059,10,58,3.62,31,62,64
False,11,17,1.5455,1.5455,8,34,3.4,17,34,13
False,26,44,1.6923,1.6923,13,88,3.52,37,74,63
False,22,39,1.7727,1.7727,14,78,3.71,30,60,25
False,22,34,1.5455,1.5455,14,68,3.4,36,72,17
False,12,19,1.5833,1.5833,9,38,3.45,11,22,41
False,16,23,1.4375,1.4375,9,46,3.07,15,30,61
False,24,43,1.7917,1.7917,15,86,3.91,24,48,10
False,11,17,1.5455,1.5455,8,34,3.4,12,24,17
False,28,49,1.75,1.75,17,98,3.63,49,98,43
False,14,22,1.5714,1.5714,12,44,3.38,24,48,0
False,17,25,1.4706,1.4706,10,50,3.12,30,60,1
False,16,24,1.5,1.5,12,48,3.43,17,34,58
False,12,20,1.6667,1.6667,9,40,3.64,20,40,58
False,25,45,1.8,1.8,14,90,3.75,29,58,20
False,17,26,1.5294,1.5294,10,52,3.25,26,52,2
False,20,34,1.7,1.7,14,68,3.58,34,68,78
False,12,20,1.6667,1.6667,10,40,3.64,20,40,111
False,25,37,1.48,1.48,13,74,3.08,39,78,13
False,18,31,1.7222,1.7222,12,62,3.65,31,62,4
False,17,29,1.7059,1.7059,13,58,3.62,28,56,17
False,13,21,1.6154,1.6154,9,42,3.5,17,34,113
False,29,51,1.7586,1.7586,15,102,3.64,30,60,57
False,17,25,1.4706,1.4706,10,50,3.12,25,50,1
False,21,35,1.6667,1.6667,12,70,3.5,31,62,9
False,12,19,1.5833,1.5833,9,38,3.45,11,22,41
False,14,22,1.5714,1.5714,9,44,3.38,19,38,250
False,17,25,1.4706,1.4706,10,50,3.12,41,82,15
False,11,17,1.5455,1.5455,8,34,3.4,17,34,2
False,25,43,1.72,1.72,15,86,3.58,43,86,7
False,15,24,1.6,1.6,13,48,3.43,24,48,2
False,21,33,1.5714,1.5714,10,66,3.3,24,48,229
False,36,83,2.3056,2.3056,20,166,4.74,71,142,50
False,20,33,1.65,1.65,15,66,3.47,33,66,5
False,31,64,2.0645,2.0645,17,128,4.27,63,126,42
False,33,60,1.8182,1.8182,17,120,3.75,46,92,56
False,24,39,1.625,1.625,14,78,3.39,38,76,9
False,28,55,1.9643,1.9643,14,110,4.07,58,116,22
False,17,30,1.7647,1.7647,12,60,3.75,25,50,64
False,11,17,1.5455,1.5455,8,34,3.4,17,34,24
False,23,40,1.7391,1.7391,18,80,3.64,40,80,4
False,39,89,2.2821,2.2821,20,178,4.81,52,104,289
False,9,12,1.3333,1.3333,7,24,3.0,12,24,23
False,13,21,1.6154,1.6154,8,42,3.5,21,42,1
False,19,30,1.5789,1.5789,12,60,3.33,37,74,22
False,21,33,1.5714,1.5714,10,66,3.3,24,48,229
False,19,31,1.6316,1.6316,14,62,3.44,32,64,5
False,23,43,1.8696,1.8696,16,86,3.91,42,84,7
False,17,27,1.5882,1.5882,12,54,3.38,27,54,1
False,24,43,1.7917,1.7917,15,86,3.91,24,48,10
False,24,38,1.5833,1.5833,13,76,3.3,38,76,2
False,17,26,1.5294,1.5294,10,52,3.25,26,52,7
False,23,38,1.6522,1.6522,12,76,3.45,24,48,21
False,16,21,1.3125,1.3125,11,42,3.23,21,42,1
False,11,18,1.6364,1.6364,9,36,3.6,18,36,1
False,17,25,1.4706,1.4706,10,50,3.12,25,50,4
False,29,55,1.8966,1.8966,15,110,3.93,53,106,23
False,19,30,1.5789,1.5789,12,60,3.33,13,26,32
False,18,30,1.6667,1.6667,12,60,3.53,30,60,6
False,24,40,1.6667,1.6667,14,80,3.48,35,70,173
False,36,83,2.3056,2.3056,20,166,4.74,71,142,50
False,21,35,1.6667,1.6667,12,70,3.5,31,62,9
False,15,23,1.5333,1.5333,10,46,3.29,23,46,70
False,18,28,1.5556,1.5556,12,56,3.29,28,56,46
False,12,20,1.6667,1.6667,9,40,3.64,20,40,18
False,11,17,1.5455,1.5455,8,34,3.4,17,34,0
False,20,30,1.5,1.5,10,60,3.16,30,60,10
False,19,32,1.6842,1.6842,14,64,3.56,30,60,7
False,14,21,1.5,1.5,11,42,3.5,21,42,3
False,16,28,1.75,1.75,12,56,3.73,24,48,3
False,11,17,1.5455,1.5455,8,34,3.4,17,34,2
False,12,20,1.6667,1.6667,9,40,3.64,20,40,11
False,14,21,1.5,1.5,10,42,3.23,21,42,0
False,16,26,1.625,1.625,10,52,3.47,21,42,6
False,20,33,1.65,1.65,15,66,3.47,33,66,5
False,11,17,1.5455,1.5455,8,34,3.4,17,34,3
False,14,22,1.5714,1.5714,9,44,3.38,19,38,250
False,24,41,1.7083,1.7083,13,82,3.57,34,68,10
False,24,41,1.7083,1.7083,15,82,3.57,40,80,11
False,30,55,1.8333,1.8333,16,110,3.79,32,64,50
False,21,31,1.4762,1.4762,13,62,3.1,31,62,7
False,24,41,1.7083,1.7083,15,82,3.57,39,78,14
False,20,33,1.65,1.65,13,66,3.47,33,66,75
False,12,18,1.5,1.5,9,36,3.27,18,36,31
False,12,18,1.5,1.5,7,36,3.27,12,24,40
False,21,35,1.6667,1.6667,12,70,3.5,31,62,9
False,20,41,2.05,2.05,14,82,4.32,25,50,77
False,17,25,1.4706,1.4706,10,50,3.12,17,34,1
False,21,36,1.7143,1.7143,14,72,3.6,36,72,8
False,32,72,2.25,2.25,18,144,4.65,81,162,107
False,21,37,1.7619,1.7619,13,74,3.7,36,72,50
False,11,18,1.6364,1.6364,8,36,3.6,18,36,1
False,15,22,1.4667,1.4667,11,44,3.14,23,46,2
False,33,66,2.0,2.0,18,132,4.12,62,124,50
False,17,26,1.5294,1.5294,11,52,3.25,17,34,1
False,11,21,1.9091,1.9091,10,42,4.2,21,42,3
False,29,58,2.0,2.0,16,116,4.14,57,114,20
False,30,70,2.3333,2.3333,19,140,5.0,70,140,21
False,31,56,1.8065,1.8065,16,112,3.73,56,112,42
False,32,69,2.1562,2.1562,17,138,4.45,55,110,111
False,18,29,1.6111,1.6111,12,58,3.41,23,46,1
False,17,25,1.4706,1.4706,10,50,3.12,17,34,1
False,25,40,1.6,1.6,14,80,3.33,17,34,88
False,24,39,1.625,1.625,14,78,3.39,38,76,9
False,13,22,1.6923,1.6923,9,44,3.67,22,44,57
False,35,68,1.9429,1.9429,14,136,4.0,65,130,71
False,11,18,1.6364,1.6364,8,36,3.6,18,36,0
False,18,26,1.4444,1.4444,11,52,3.25,26,52,3
False,12,20,1.6667,1.6667,9,40,3.64,20,40,58
False,15,25,1.6667,1.6667,12,50,3.85,25,50,8
False,25,39,1.56,1.56,13,78,3.39,35,70,6
False,12,20,1.6667,1.6667,10,40,3.64,20,40,74
False,19,31,1.6316,1.6316,15,62,3.44,31,62,2
False,17,25,1.4706,1.4706,10,50,3.12,21,42,54
False,29,55,1.8966,1.8966,15,110,3.93,53,106,23
False,17,31,1.8235,1.8235,11,62,3.88,31,62,7
False,20,32,1.6,1.6,13,64,3.37,26,52,279
False,13,21,1.6154,1.6154,9,42,3.5,17,34,21
False,19,31,1.6316,1.6316,14,62,3.44,36,72,1
