contains_bug,ent,nrev,tcmt,age,oexp,argument_list if condition,if condition expr,name if condition,condition expr operator,operator if condition
1,0.899507835,2,12,323599.0,1800,2,59,5,14,6
1,0.0,1,19,1038626.0,2465,1,64,24,22,24
1,0.787126586,6,23,505927.5,594,0,10,4,2,4
1,0.782246773,1,11,224383.0,595,0,44,0,11,0
1,0.0,1,11,1141.0,2313,0,0,0,0,0
1,0.0,1,4,432554.0,1358,0,16,1,7,2
1,0.79014186,7,55,2842384.2,733,3,18,6,2,4
1,0.305277455,6,43,517654.805,1143,8,213,25,64,21
1,0.0,1,16,2153071.0,484,0,0,0,0,0
1,0.806581531,41,131,440512.5,714,1,45,7,6,2
1,0.971562177,2,21,1434337.0,519,0,48,8,13,8
1,0.548527022,13,53,627176.8,901,0,0,0,0,0
1,0.918295834,2,14,80912.0,522,3,56,8,20,10
1,0.0,1,10,1300001.0,483,1,6,2,1,2
1,0.905712598,1,26,1247988.0,233,0,0,0,0,0
1,0.764204507,3,14,1557418.0,487,2,12,5,3,4
1,0.619382195,3,20,935531.0,2621,0,5,3,0,2
1,0.604105268,7,37,6197281.5,2206,0,43,8,6,7
1,0.0,4,30,4980177.0,1029,0,0,0,0,0
1,0.484242069,9,58,3851764.0,1125,0,13,2,2,1
1,0.0,1,3,686616.0,563,0,0,0,0,0
1,0.0,1,3,1031593.0,500,0,0,0,0,0
1,0.771011566,12,48,1668107.592,3345,48,2469,296,811,224
1,0.650022422,1,16,20627574.0,1733,0,10,4,3,4
1,0.805824049,25,110,312555.5,1162,3,150,28,25,22
1,0.63269953,12,44,76.0,1258,0,9,0,2,0
1,0.716435422,5,17,973782.25,325,1,49,20,8,8
1,0.0,3,19,450604.0,1169,0,15,6,4,6
1,0.0,6,31,2044075.0,1163,0,20,0,3,0
1,0.876581903,4,23,634232.8182,2669,1,26,15,3,9
1,0.398225072,6,23,2064219.0,370,9,73,26,15,25
1,0.918295834,1,6,191338.0,42,0,0,0,0,0
1,0.643784086,4,14,1559536.0,1220,0,7,2,3,3
1,0.139232999,3,26,409498.0,780,0,34,0,23,0
1,0.812675613,7,30,1769205.4,515,0,49,0,10,0
1,0.808606243,6,20,447988.25,782,4,26,12,5,9
1,0.79521427,1,6,115238.6667,545,9,53,12,9,12
1,0.257504459,5,33,132749.5,2697,1,34,2,14,2
1,0.815915474,8,30,25798.33333,1146,0,127,39,67,61
1,0.392403382,6,31,2695163.0,4316,0,34,6,4,3
1,0.0,3,11,320919.0,2864,0,7,3,1,2
1,0.0,10,53,1111925.0,142,2,42,18,12,19
1,0.0,3,20,837846.0,328,0,0,0,0,0
1,0.961236605,3,17,85478.0,1598,1,19,10,2,7
1,0.0,2,11,525125.0,2722,3,20,5,4,5
1,0.540704097,4,24,68458.0,2212,1,30,7,13,3
1,0.863527302,6,27,169789.0,2140,0,0,1,0,0
1,0.337184152,16,75,118.0,1270,0,2,0,1,1
1,0.447499255,4,36,3669660.0,1274,0,37,0,15,0
1,0.511859507,1,16,350934.25,2351,0,9,3,3,2
1,0.618738812,2,23,1633711.25,2957,0,0,0,0,0
1,0.0,2,28,756534.0,2115,0,0,0,3,0
1,0.0,1,7,1469288.0,467,1,11,3,2,3
1,0.0,2,25,4035823.0,856,0,0,0,0,0
1,0.925695269,1,4,493933.4,575,6,42,16,10,16
1,0.0,2,13,1301217.0,1453,0,36,15,8,12
1,0.189278431,2,11,7757672.0,2182,0,0,0,2,0
1,0.0,3,37,1280509.0,3139,1,9,3,3,3
1,0.763552373,8,57,2309681.333,2003,5,83,24,16,16
1,0.0,1,14,491.0,3295,0,0,0,0,0
1,0.702725808,3,22,459814.5,2029,0,10,4,1,2
1,1.0,1,5,74177.0,2784,0,32,4,11,1
1,0.0,2,22,4082589.0,443,0,0,0,0,0
1,0.982683656,7,52,2946814.0,2107,1,43,3,11,2
1,0.884087037,22,134,5924006.4,2982,4,77,27,30,18
1,0.543782306,16,60,2509510.0,2548,0,7,4,1,3
1,0.743023116,4,21,1993576.25,2615,0,0,0,0,0
1,0.51341858,8,25,74311.0,2345,2,36,18,6,12
1,0.918295834,2,12,2107664.5,1568,1,30,0,9,2
1,0.543564443,1,10,5178551.0,1249,0,0,0,0,0
1,0.76743731,20,101,5601341.0,2583,0,1,14,0,2
1,0.71417425,6,36,489833.7778,2098,2,73,22,17,17
1,0.491237342,1,9,1115379.0,2911,0,52,23,20,20
1,0.0,3,14,4822883.0,2098,0,0,0,2,0
1,0.273376463,2,9,512851.0,2101,0,48,0,12,0
1,0.639404794,2,10,1382227.143,1767,0,0,0,9,0
1,0.173984998,10,39,432462.0,2705,0,186,34,34,24
1,0.797750127,2,14,2124958.227,656,10,404,7,88,6
1,0.762532484,12,44,2124848.4,2631,0,15,5,3,2
1,0.365717406,11,38,86397.0,2386,4,212,4,63,2
1,0.090398956,27,100,5965310.0,2940,2,102,4,12,4
1,0.45620264,8,45,3218323.0,849,8,180,37,54,31
1,0.0,11,39,477.0,2411,0,0,0,0,0
1,0.493244989,15,44,2056334.0,1115,0,9,0,3,0
1,0.857148875,1,4,5636092.25,1166,0,20,9,6,8
1,0.923219672,2,9,408779.0,1171,0,12,2,2,2
1,0.85123921,3,27,520004.4,682,4,45,14,9,11
1,0.539788253,10,66,3925394.857,743,0,69,9,21,8
1,0.343323301,3,13,3401.0,4965,0,8,4,2,3
1,0.712367309,2,8,6033597.25,1960,0,9,0,3,0
1,0.0,2,13,1211485.0,949,0,0,0,0,0
1,0.960229718,5,38,1037639.0,691,0,4,2,0,1
1,0.0,1,17,590509.0,2894,0,44,24,9,19
1,0.0,2,16,9073084.0,1577,0,0,0,0,0
1,0.368898499,14,63,1538753.0,2246,1,225,14,46,9
1,0.745602277,9,44,1697604.917,275,1,92,12,24,7
1,0.659187227,36,193,162105.7778,2954,0,0,0,0,0
1,0.731281813,2,10,2617197.167,802,0,5,1,1,2
1,0.801183019,8,46,6169612.7,2542,0,14,3,4,2
1,0.0,2,13,14292161.0,3185,0,0,0,0,0
1,0.0,2,9,319527.0,2131,0,0,0,0,0
1,0.0,1,7,351097.0,558,1,23,9,2,3
1,0.749127555,8,42,593174.8,1327,2,50,6,15,5
1,0.297472249,4,21,13957697.0,2671,0,8,1,2,0
1,0.156491063,1,10,1138519.5,3256,1,99,7,20,6
1,0.842088782,1,10,1448086.0,2688,0,7,2,2,1
1,0.311780615,6,22,141436.0,3266,0,11,3,4,0
1,0.842038487,5,25,447418.0,2582,0,48,2,25,2
1,0.0,1,4,407.0,2446,0,0,0,0,0
1,0.137099479,5,23,565492.0,3859,0,63,9,56,3
1,0.432025343,6,31,4495625.75,592,2,252,34,65,29
1,0.970950594,3,14,6943258.5,2705,3,32,11,9,9
1,0.453716339,4,52,708077.0,2523,1,13,5,4,4
1,0.92146324,1,12,247600.0,1491,0,0,0,2,0
1,0.0,2,11,13162.0,1208,0,0,0,0,0
1,0.205592508,8,28,7419106.5,1066,0,5,2,1,2
1,0.914759446,9,40,87005.41667,172,0,0,0,0,0
1,0.681463799,7,32,256887.6364,899,11,111,31,24,24
1,0.994984828,3,18,47552.0,439,0,6,3,2,3
1,0.953260208,15,77,2494.0,2327,0,100,6,34,5
1,0.0,1,31,318783.0,454,0,11,5,3,5
1,0.0,1,50,6630098.0,1941,0,15,7,3,7
1,0.783540268,4,33,7426786.321,1359,0,356,0,112,0
1,0.821585437,4,36,126734.25,451,0,13,0,16,0
1,0.0,2,13,482430.0,579,0,0,0,0,0
1,0.527285223,6,22,3392166.857,3395,0,0,0,0,0
1,0.0,1,11,568829.0,204,0,23,5,3,8
1,0.0,1,3,959606.0,348,1,11,5,2,4
1,0.7517535,5,16,9171.0,206,2,13,7,1,3
1,0.92801278,4,29,268491.8333,5629,0,0,0,0,0
1,0.913081832,4,19,1552352.0,372,0,0,0,0,0
1,0.795223635,5,32,5613396.5,3051,1,5,2,1,1
1,0.728371702,7,43,40822.81818,2264,0,0,0,0,0
1,0.893561061,1,14,244868.9121,1916,12,516,254,47,149
1,0.156491063,2,12,567609.0,64,0,32,20,8,12
1,0.155103272,4,28,15504689.5,658,0,15,0,4,0
1,0.0,2,16,1724300.0,2886,0,0,0,0,0
1,0.811839805,2,10,994336.8889,920,9,86,19,19,19
1,0.439496987,6,28,10025202.0,2273,2,10,3,5,5
1,0.0,2,11,6899387.0,1005,0,10,7,1,2
1,0.629210553,3,23,536217.0,4696,0,5,2,4,2
1,0.0,1,4,3281103.0,214,0,9,3,2,2
1,0.544481225,5,13,8239416.8,4218,4,107,35,13,27
1,0.81581935,3,16,3340971.8,563,0,0,0,0,0
1,0.0,1,8,682610.0,3119,0,0,0,0,0
1,0.0,3,7,239967.0,822,0,0,0,0,0
1,0.0,1,9,595651.0,4071,0,0,0,0,0
1,0.0,3,9,1905234.0,233,0,13,3,2,3
1,0.0,3,18,536085.0,1360,0,20,5,4,5
1,0.0,2,8,690124.0,223,0,0,0,0,0
1,0.0,1,4,232985.0,224,0,1,0,0,0
1,0.559363613,3,20,1056308.0,1108,0,6,4,1,1
1,0.0,2,6,17986080.0,125,0,10,2,2,2
1,0.0,2,9,411424.0,1826,0,11,0,1,0
1,0.865399056,7,31,236697.3158,582,4,112,17,29,10
1,0.0,2,8,687813.0,1382,0,6,0,1,0
1,0.487852771,5,25,7460806.0,593,4,60,13,15,12
1,0.68294912,3,16,1106867.25,2148,0,80,3,19,1
1,0.61861084,15,80,2118821.0,402,1,28,15,4,9
1,0.286396957,2,17,2579119.0,3942,0,11,0,7,0
1,0.391243564,2,6,3401405.5,208,0,37,0,0,0
1,0.0,4,37,98749.0,3734,0,0,0,0,0
1,0.0,1,5,1204738.0,748,0,16,3,8,7
1,0.996511906,3,24,77840.0,4296,0,0,0,0,0
1,0.0,1,3,72486.0,1877,0,21,2,6,1
1,0.0,1,3,2943.0,1878,0,0,0,0,0
1,0.0,1,3,321.0,1879,0,0,0,0,0
1,0.99107606,3,11,2718370.0,373,2,11,4,9,4
1,0.0,4,30,68370.0,378,2,7,2,2,2
1,0.0,1,15,4332620.0,6097,1,9,5,1,3
1,0.0,1,9,835229.0,4957,0,18,0,4,0
1,0.437304486,9,38,653.0,5730,0,0,0,0,0
1,0.72951435,6,34,2681472.0,2429,0,0,0,0,0
1,0.702731755,8,52,534248.4,2430,0,27,7,7,5
1,0.576217396,5,17,320440.0,2506,1,30,15,10,13
1,0.0,5,46,1904324.0,553,4,47,20,15,22
1,0.0,2,19,2340596.0,2544,0,5,2,1,2
1,0.0,1,7,6507038.0,866,0,4,2,1,0
1,0.754572017,25,119,573723.6522,454,12,201,59,46,54
1,0.660321507,11,46,157037.0,653,0,138,24,34,17
1,0.887883993,4,18,159646.8333,341,3,101,13,31,12
1,0.911880134,10,39,732124.037,3158,1,219,8,51,6
1,0.654324508,3,10,168532.0,287,8,160,32,38,26
1,0.749759693,5,34,465800.0,2536,2,35,2,8,3
1,0.896139188,26,92,2301718.571,1784,3,52,13,15,12
1,0.683282402,8,50,3069585.889,3965,1,15,1,5,1
1,0.0,1,15,1162652.0,3148,0,12,8,0,3
1,0.616905944,11,63,962664.45,337,1,211,2,63,2
1,0.200858009,6,19,4411156.0,2563,3,151,19,42,7
1,0.744460099,6,19,480263.0,225,0,6,2,1,2
1,0.294545535,30,176,670926.0208,2912,1,1209,16,245,9
1,0.522900874,21,60,443574.3333,3912,0,16,0,6,0
1,0.0,1,7,83051.0,3471,0,7,3,1,3
1,0.615977319,2,9,438083.3333,4061,1,22,8,4,7
1,0.318555475,3,13,1681457.0,4066,0,11,6,3,5
1,0.195909271,2,22,6427.5,753,2,53,13,15,9
1,0.0,3,10,1213373.0,681,0,0,0,0,0
1,0.842260281,4,20,330370.2,218,0,50,6,7,2
1,0.397917539,9,45,4439294.083,5496,0,450,6,112,4
1,0.812635495,5,30,1057299.091,2860,0,127,3,36,2
1,0.789725238,5,32,1296859.0,5221,3,64,15,22,15
1,0.694918148,16,77,1855993.833,160,0,0,0,0,0
1,0.0,6,27,110858.0,3697,0,0,0,0,0
1,0.0,3,17,5335922.0,1898,0,12,4,2,3
1,0.0,1,7,1220107.0,697,0,0,0,0,0
1,0.863624303,2,14,589231.75,322,0,3,0,1,0
1,0.597094843,2,9,1046507.0,700,0,27,5,4,2
1,0.629249224,1,11,777305.0,420,0,0,0,0,0
1,0.550437157,4,11,860421.6,838,0,8,6,0,2
1,0.843380065,2,18,1207012.0,2929,0,18,4,6,1
1,0.0,1,20,4057666.0,2932,1,11,2,6,4
1,0.0,1,17,1819557.0,2839,0,0,0,0,0
1,0.0,1,14,3558999.0,849,1,8,3,1,3
1,0.701995229,5,32,1745031.0,717,0,9,0,3,0
1,0.172578724,5,33,430223.7949,3080,0,617,3,141,2
1,0.0,5,50,3280638.0,2808,0,29,2,11,1
1,0.13110653,6,21,345319.0,4088,2,23,9,7,9
1,0.884614874,3,25,6795.0,3091,0,0,0,0,0
1,0.599945733,3,23,16005.92308,2115,0,52,11,10,9
1,0.686664292,10,44,66586.33333,448,8,58,18,21,26
1,0.0,1,9,1816358.0,4215,0,115,1,55,1
1,0.485460761,2,17,1196192.0,734,0,6,3,1,2
1,0.0,6,40,15036065.0,725,0,0,0,0,0
1,0.223812555,7,20,964516.5,1025,2,174,17,51,13
1,0.0,1,22,78620.0,1081,0,0,0,0,0
1,0.992563136,5,25,338434.5,1359,1,98,35,7,12
1,0.729782323,45,227,1829714.5,517,0,0,0,0,0
1,0.708321139,2,16,441884.75,1434,0,9,4,3,4
1,0.359101626,2,19,2875612.0,897,1,22,3,11,6
1,0.684038436,3,17,792838.0,837,0,1,0,0,0
1,0.814023922,10,54,2174658.0,1711,0,38,14,8,11
1,0.608680294,3,19,1727964.0,1325,0,10,3,2,1
1,0.123949868,5,24,352199.0,908,3,48,12,13,10
1,0.0,1,6,850033.0,1005,0,0,0,0,0
1,0.0,6,13,1977996.0,1172,0,1,0,0,1
1,0.71435829,2,13,1135795.0,3066,0,60,0,10,0
1,0.699176543,13,93,4386482.333,3180,11,237,52,80,47
1,0.727467431,2,8,1185019.75,726,0,79,6,25,5
1,0.811278124,1,10,8710255.0,2921,0,0,0,0,0
1,0.789001151,2,14,2318398.333,3098,1,18,2,3,2
1,0.639502038,2,18,1629223.333,748,56,920,261,200,212
1,0.858637082,6,35,0.0,801,0,14,2,5,1
1,0.834797512,5,18,2496669.0,971,34,223,56,64,69
1,0.0,1,9,1200995.0,3264,0,1,0,0,0
1,0.366578013,3,12,1210577.5,3266,2,2,0,0,0
1,0.0,2,6,3339.0,1393,0,0,0,0,0
1,0.0,2,11,1013238.0,364,0,0,0,0,0
1,0.943706416,2,13,760013.8,1410,0,0,0,0,0
1,0.447015086,7,24,1084440.0,466,1,83,31,19,23
1,0.0,2,13,3103380.0,456,0,0,0,0,0
1,0.660660948,42,159,987419.5476,733,13,283,60,68,57
1,0.0,3,12,263108.0,1009,1,9,4,1,3
1,0.0,4,15,1292944.0,765,0,17,2,5,3
1,0.641399916,3,20,386897.3333,3477,0,34,11,8,11
1,0.827569886,4,10,574863.8,821,0,25,3,2,2
1,0.177389453,2,6,7508739.0,356,0,6,0,0,0
0,0.768821857,2,7,1069622.0,915,3,12,5,2,4
0,0.0,1,10,87269.0,3233,0,5,2,3,2
0,0.0,1,9,2348242.0,1108,1,18,3,5,3
0,0.0,8,21,371984.0,1715,1,16,5,4,5
0,0.0,1,6,2736363.0,230,0,0,0,0,0
0,0.0,2,9,2056487.0,1399,0,2,1,1,1
0,0.0,2,5,4989984.0,431,0,0,0,0,0
0,0.688047624,1,15,76219.0,1995,0,0,0,0,0
0,0.0,2,6,1267850.0,920,0,0,0,0,0
0,0.322769763,2,14,442069.0,2497,2,28,11,9,12
0,0.0,5,25,3239415.0,782,0,22,14,2,4
0,0.0,1,5,157175.0,914,0,0,0,0,0
0,0.943669003,3,9,404920.2,2031,0,0,0,0,0
0,0.0,1,4,902115.0,1210,0,0,0,0,0
0,0.979868757,2,23,1317754.0,836,0,3,2,0,1
0,0.0,1,3,179497.0,1496,0,0,0,0,0
0,0.0,2,12,3113170.0,4374,0,0,0,0,0
0,0.543564443,2,10,21805072.5,925,0,0,0,0,0
0,1.0,2,18,306158.0,1878,0,0,0,0,0
0,0.0,3,20,583633.0,633,1,11,5,2,4
0,0.0,1,5,2740238.0,2585,0,0,0,0,0
0,0.931405915,6,48,3261426.857,2659,0,0,0,0,0
0,0.0,3,13,63001.0,2106,0,0,0,0,0
0,0.797175287,1,4,8474223.2,502,0,0,0,0,0
0,0.0,2,19,80557.0,1039,0,0,0,0,0
0,0.0,1,12,418575.0,1539,0,0,0,0,0
0,0.0,1,7,15647.0,1750,0,0,0,0,0
0,0.0,2,15,965380.0,1121,0,0,0,0,0
0,0.0,6,18,3274604.0,351,0,0,0,0,0
0,0.89988947,1,14,5711084.6,627,0,0,0,0,0
0,0.811278124,1,7,2699198.0,896,0,0,0,0,0
0,0.996791632,2,9,0.0,213,3,23,11,7,9
0,0.685220383,3,16,73219.0,3658,0,15,2,2,1
0,0.0,1,7,20319145.0,3729,0,0,0,0,0
0,0.0,1,7,5763511.0,345,1,24,3,5,2
0,0.0,1,3,6814746.0,3509,0,1,1,0,0
0,0.0,4,14,87485.0,3159,0,14,3,2,2
0,0.0,6,31,12158695.0,724,2,16,6,2,6
0,0.91835254,3,16,2970799.0,4137,0,0,5,0,1
0,0.0,1,3,179497.0,1496,0,0,0,0,0
0,0.0,2,11,141127.0,1144,0,0,0,0,0
0,0.0,2,5,471851.0,2576,0,0,0,0,0
0,0.0,2,9,2056487.0,1399,0,2,1,1,1
0,0.460037221,3,9,1105034.0,564,0,154,2,40,2
0,0.0,1,6,140051.0,2514,0,0,0,0,0
0,0.0,3,11,70.0,2765,0,19,10,6,9
0,0.0,3,9,1206484.0,3150,0,0,0,0,0
0,0.855952333,2,18,215207.1429,415,2,82,6,19,6
0,0.0,1,5,2836.0,633,0,0,0,0,0
0,0.0,1,3,3093969.0,2075,0,0,0,0,0
0,0.905928216,2,6,1550477.0,1020,0,13,6,8,5
0,0.0,1,13,521682.0,3589,0,2,1,0,0
0,0.721928095,2,7,1409518.0,2317,0,3,1,1,2
0,0.0,3,11,1135552.0,313,0,19,9,3,7
0,1.0,4,14,839049.0,610,2,66,13,24,16
0,0.0,2,7,788013.0,1393,0,0,0,0,0
0,0.0,2,9,3351229.0,2938,1,1,0,0,0
0,0.0,1,7,766273.0,3173,0,0,0,0,0
0,0.90773961,1,8,7687.0,679,0,0,0,0,0
0,0.0,1,6,515370.0,1566,0,0,0,0,0
0,0.0,2,9,614.0,1331,0,10,4,1,4
0,0.706221344,5,42,2289474.647,3166,2,34,15,14,16
0,0.0,3,11,70.0,2765,0,19,10,6,9
0,0.0,2,16,627411.0,857,0,0,0,0,0
0,0.844264793,7,46,475251.6667,917,2,22,4,6,4
0,0.825011211,3,18,18365074.75,3181,0,0,0,0,0
0,0.522559375,1,10,82628.0,3653,0,68,5,6,2
0,0.0,1,10,98023.0,4209,0,7,4,0,2
0,0.0,3,11,24513214.0,349,1,8,3,1,3
0,0.918295834,1,5,1487929.0,2920,0,5,2,1,2
0,0.0,1,7,27204.0,2512,0,0,0,0,0
0,0.0,5,18,3173610.0,1034,0,3,1,1,1
0,0.702466551,2,9,987546.0,1164,0,88,7,8,3
0,0.0,1,9,2348242.0,1108,1,18,3,5,3
0,1.0,5,25,6173704.333,734,0,0,0,0,0
0,0.894342646,1,14,80580.0,773,0,9,0,2,0
0,0.0,4,38,13174810.0,1869,0,0,0,0,0
0,0.0,2,6,73041.0,1510,0,0,0,0,0
0,0.0,4,12,181861.0,426,0,10,4,2,4
0,0.713158604,6,33,1500944.333,2982,0,3,1,6,2
0,0.50779567,7,47,3259650.333,143,0,86,20,58,18
0,0.0,3,8,462599.0,136,0,3,1,1,1
0,0.0,2,6,183454.0,686,0,0,0,0,0
0,0.905208405,2,10,159429.0,3896,0,0,0,0,0
0,0.537509612,7,49,370423.6667,1981,0,0,0,0,0
0,0.987468751,1,4,2151517.0,246,0,10,4,4,5
0,0.32984607,3,15,1118752.0,1943,0,0,0,0,0
0,0.918923585,3,14,1215679.2,1497,0,0,0,0,0
0,0.49324492,6,38,400089.6,1175,6,64,23,9,18
0,1.0,2,18,306158.0,1878,0,0,0,0,0
0,1.0,1,6,1478193.0,1525,0,0,0,0,0
0,0.0,4,17,419952.0,3780,0,0,0,0,0
0,0.591672779,3,19,28085487.0,534,0,0,0,0,0
0,1.0,1,11,200104.0,3848,0,0,0,0,0
0,0.0,2,9,510119.0,295,0,0,0,0,0
0,0.0,1,25,338926.0,470,0,0,0,0,0
0,0.0,2,5,16187312.0,1628,0,0,0,0,0
0,0.0,2,7,14688622.0,4311,0,0,0,0,0
0,0.721928095,2,31,19839914.5,3973,0,0,0,0,0
0,0.768684952,2,5,13262858.0,809,0,11,2,4,2
0,0.0,1,8,4132873.0,1232,1,8,3,1,3
0,0.0,6,33,147.0,3226,0,2,0,2,0
0,0.770620257,11,53,2829917.6,750,0,27,7,6,6
0,0.537509612,7,49,370423.6667,1981,0,0,0,0,0
0,0.0,1,3,5255256.0,1833,0,0,0,0,0
0,0.0,2,22,280380.0,2503,0,0,0,0,0
0,0.0,6,17,15568.0,652,0,6,3,4,2
0,0.760111169,4,30,6419084.929,537,1,22,11,15,9
0,0.609840305,6,25,1042043.0,1832,2,22,10,6,9
0,0.0,1,6,1736824.0,912,0,22,0,5,0
0,0.667802345,10,80,4023472.0,517,9,540,5,144,9
0,0.0,2,6,9753705.0,490,0,0,0,0,0
0,0.811278124,2,15,1568766.0,2097,0,10,0,4,0
0,0.0,2,6,1962308.0,993,0,0,0,0,0
0,0.735380337,6,19,4998573.0,1259,0,0,0,0,0
0,0.894342646,1,14,80580.0,773,0,9,0,2,0
0,0.0,3,14,4518636.0,1968,0,0,0,0,0
0,0.0,1,4,4328371.0,43,0,0,0,0,0
0,0.721928095,1,6,6950663.0,1561,0,5,3,1,2
0,0.0,1,6,1736824.0,912,0,22,0,5,0
0,0.961236605,1,10,1264641.0,2817,0,23,3,3,2
0,0.828871363,1,9,2927082.0,1662,4,23,10,5,6
0,0.0,5,27,238324.0,2263,1,9,4,3,4
0,0.32984607,3,15,1118752.0,1943,0,0,0,0,0
0,0.0,1,5,74102.0,3326,0,0,0,0,0
0,0.960229718,1,14,262182.6667,3113,0,0,0,0,0
0,0.0,2,4,2176017.0,938,2,16,6,3,3
0,0.0,1,8,2736476.0,2192,1,23,9,7,12
0,0.837681279,4,21,10402826.67,3008,1,24,8,6,5
0,0.76404317,5,23,3924680.833,388,4,15,5,6,6
0,0.0,2,11,141127.0,1144,0,0,0,0,0
0,0.667802345,10,80,4023472.0,517,9,540,5,144,9
0,0.770620257,11,53,2829917.6,750,0,27,7,6,6
0,0.0,2,17,23088294.0,596,0,0,0,0,0
0,0.0,1,4,1240934.0,418,3,17,5,6,7
